,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,1209725000.0,77199000.0,1132526000.0,693726000.0,434710000.0,257337000.0,1.94,132630000.0,6303680000.0,79189050000.0,18608020000.0,97797060000.0,0.0,74700840000.0,10174290000.0,10174290000.0,84875130000.0,12921930000.0,41965000.0,689757000.0,-19349000.0,-1038489000.0,-93871000.0,247578000.0,121.95
2015-12-31,1350485000.0,95333000.0,1255152000.0,834537200.0,411038600.0,248051000.0,1.65,136803000.0,9236174000.0,101731400000.0,21056500000.0,122787900000.0,0.0,95960730000.0,10653860000.0,10653860000.0,106614600000.0,16173290000.0,47855000.0,494568000.0,-39192000.0,9307352000.0,-93868000.0,-9683584000.0,121.18
2016-03-31,1393767000.0,100870000.0,1292897000.0,812776000.0,467801900.0,275744000.0,1.74,158734000.0,11191340000.0,103774400000.0,20851270000.0,124625600000.0,0.0,97929550000.0,10341040000.0,10341040000.0,108270600000.0,16355050000.0,51709000.0,448220000.0,-16307000.0,-2015275000.0,-112000000.0,1377190000.0,111.0
2016-06-30,1418875000.0,106802000.0,1312073000.0,770477000.0,530178000.0,312968000.0,1.98,157802000.0,10265410000.0,103489600000.0,20330940000.0,123820600000.0,0.0,97020320000.0,10328750000.0,10328750000.0,107349100000.0,16471510000.0,50190000.0,201811000.0,-20312000.0,1108177000.0,-111179000.0,-1203721000.0,118.23
2016-09-30,1460865000.0,111175000.0,1349690000.0,789605000.0,550298000.0,326992000.0,2.1,155493000.0,12598430000.0,106747200000.0,20093810000.0,126841000000.0,0.0,100288900000.0,10211160000.0,10211160000.0,110500100000.0,16340980000.0,49515000.0,422059000.0,-28658000.0,-3091100000.0,-109863000.0,2716801000.0,116.1
2016-12-31,1448360000.0,107137000.0,1341223000.0,822013900.0,510120100.0,307755000.0,1.98,156780000.0,6645054000.0,101832700000.0,21616500000.0,123449200000.0,0.0,97468750000.0,9493835000.0,9493835000.0,106962600000.0,16486620000.0,49177000.0,111321000.0,-42416000.0,3277430000.0,-108849000.0,-3400404000.0,156.43
2017-03-31,1452878000.0,91773000.0,1361105000.0,834432000.0,518253100.0,328562000.0,2.13,154427000.0,8406965000.0,101894400000.0,21328830000.0,123223300000.0,0.0,98922530000.0,8087619000.0,8087619000.0,107010100000.0,16213100000.0,49392000.0,1285816000.0,-21521000.0,-826007000.0,-116566000.0,-493396000.0,154.73
2017-06-30,1491229000.0,92213000.0,1399016000.0,794522000.0,596381000.0,360658000.0,2.35,152857000.0,6543953000.0,99727420000.0,21169140000.0,120896600000.0,0.0,96963450000.0,7649580000.0,7649580000.0,104613000000.0,16283540000.0,50026000.0,337471000.0,-28341000.0,2490805000.0,-114086000.0,-2769760000.0,161.95
2017-09-30,1516639000.0,100076000.0,1416563000.0,828217000.0,580538000.0,335801000.0,2.21,151347000.0,7845252000.0,99999440000.0,20402360000.0,120401800000.0,0.0,95506100000.0,8577645000.0,8577645000.0,104083800000.0,16318050000.0,51029000.0,442579000.0,-12653000.0,514539000.0,-114514000.0,-934344000.0,161.04
2017-12-31,1558192000.0,102689000.0,1455503000.0,819788100.0,628689700.0,302482100.0,2.01,152159000.0,6632700000.0,98617810000.0,19975680000.0,118593500000.0,0.0,94201240000.0,8141430000.0,8141430000.0,102342700000.0,16250820000.0,46678000.0,716069000.0,-16451000.0,1215588000.0,-112236000.0,-1879021000.0,170.99
2018-03-31,1540846000.0,106633000.0,1434213000.0,969712000.0,457869000.0,332748000.0,2.24,148688000.0,7569232000.0,99269480000.0,19353340000.0,118622800000.0,0.0,94322090000.0,8591051000.0,8591051000.0,102913100000.0,15709690000.0,45569000.0,484179000.0,-9544000.0,-248530000.0,-112318000.0,-363873000.0,184.36
2018-06-30,1586319000.0,120118000.0,1466201000.0,805189000.0,654624100.0,472598000.0,3.26,144825000.0,8187382000.0,99853560000.0,18572490000.0,118426100000.0,0.0,94465850000.0,8382316000.0,8382316000.0,102848200000.0,15577880000.0,45750000.0,37063000.0,-27572000.0,911518000.0,-115247000.0,-872151000.0,170.15
2018-09-30,1626669000.0,138337000.0,1488332000.0,785836000.0,696352900.0,505363000.0,3.54,142822000.0,7960395000.0,98473800000.0,18353840000.0,116827600000.0,0.0,92251290000.0,9140268000.0,9140268000.0,101391600000.0,15436080000.0,44597000.0,1018375000.0,-22186000.0,873742000.0,-143815000.0,-1949600000.0,164.54
