,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2018-09-30,5577000000.0,3333000000.0,2244000000.0,1045000000.0,1146000000.0,845000000.0,1.1,1514000000.0,1199000000.0,767049000.0,3429000000.0,784000000.0,4213000000.0,133728000000.0,137941000000.0,100584000000.0,5279000000.0,14123000000.0,114707000000.0,23234000000.0,315000000.0,1852000000.0,-1729000000.0,-199000000.0,-525000000.0,47.07,0
2018-12-31,5128000000.0,3239000000.0,1889000000.0,1106000000.0,724000000.0,526000000.0,0.6900000000000001,1096000000.0,783000000.0,769588000.0,4337000000.0,851000000.0,5188000000.0,135218000000.0,140406000000.0,103188000000.0,5778000000.0,13756000000.0,116944000000.0,23462000000.0,313000000.0,1355000000.0,-410000000.0,-198000000.0,-103000000.0,45.56,0
2019-03-31,5657000000.0,3298000000.0,2359000000.0,1059000000.0,1242000000.0,928000000.0,1.23,1640000000.0,1300000000.0,751423000.0,3892000000.0,858000000.0,4750000000.0,140929000000.0,145679000000.0,103680000000.0,5900000000.0,15950000000.0,119630000000.0,26049000000.0,340000000.0,1544000000.0,-1291000000.0,-195000000.0,-686000000.0,50.0,0
2019-06-30,5511000000.0,3293000000.0,2218000000.0,1052000000.0,1109000000.0,817000000.0,1.1,1475000000.0,1166000000.0,745153000.0,3019000000.0,883000000.0,3902000000.0,147498000000.0,151400000000.0,106989000000.0,6231000000.0,16170000000.0,123159000000.0,28241000000.0,309000000.0,813000000.0,-1436000000.0,-194000000.0,-292000000.0,54.81,0
2019-09-30,5536000000.0,3357000000.0,2179000000.0,1086000000.0,1036000000.0,777000000.0,1.05,1411000000.0,1093000000.0,739946000.0,4216000000.0,908000000.0,5124000000.0,149013000000.0,154137000000.0,107530000000.0,6233000000.0,17169000000.0,124699000000.0,29438000000.0,318000000.0,1906000000.0,-219000000.0,-190000000.0,-451000000.0,52.32,0
2019-12-31,5603000000.0,3315000000.0,2288000000.0,1174000000.0,1058000000.0,782000000.0,1.07,1429000000.0,1114000000.0,742414000.0,4896000000.0,828000000.0,5724000000.0,147044000000.0,152768000000.0,106554000000.0,6569000000.0,17255000000.0,123809000000.0,28959000000.0,315000000.0,1192000000.0,-225000000.0,-192000000.0,-284000000.0,52.9,0
2020-03-31,5162000000.0,3275000000.0,1887000000.0,1112000000.0,720000000.0,566000000.0,0.78,1108000000.0,775000000.0,724366000.0,4148000000.0,813000000.0,4961000000.0,146655000000.0,151616000000.0,107552000000.0,6758000000.0,17662000000.0,125214000000.0,26402000000.0,333000000.0,1414000000.0,-1716000000.0,-195000000.0,-446000000.0,34.24,0
2020-06-30,5407000000.0,3229000000.0,2178000000.0,1045000000.0,1070000000.0,805000000.0,1.12,1422000000.0,1133000000.0,717889000.0,5528000000.0,894000000.0,6422000000.0,150665000000.0,157087000000.0,109103000000.0,7771000000.0,18564000000.0,127667000000.0,29420000000.0,289000000.0,1187000000.0,-404000000.0,-193000000.0,598000000.0,36.03,0
2020-09-30,5665000000.0,3310000000.0,2355000000.0,1139000000.0,1153000000.0,2456000000.0,3.45,1508000000.0,1216000000.0,711698000.0,5563000000.0,824000000.0,6387000000.0,154568000000.0,160955000000.0,111587000000.0,7825000000.0,16889000000.0,128476000000.0,32479000000.0,292000000.0,2000000000.0,-1391000000.0,-192000000.0,-583000000.0,36.35,0
2020-12-31,5913000000.0,3298000000.0,2615000000.0,1338000000.0,1216000000.0,951000000.0,1.3599999999999999,1577000000.0,1277000000.0,713702000.0,5141000000.0,796000000.0,5937000000.0,159149000000.0,165086000000.0,114391000000.0,7899000000.0,17136000000.0,131527000000.0,33559000000.0,300000000.0,1357000000.0,-1108000000.0,-189000000.0,-684000000.0,44.47,0
2021-03-31,5869000000.0,3061000000.0,2808000000.0,1143000000.0,1603000000.0,1293000000.0,1.88,1976000000.0,1665000000.0,688938000.0,4990000000.0,777000000.0,5767000000.0,152390000000.0,158157000000.0,107905000000.0,8088000000.0,18149000000.0,126054000000.0,32103000000.0,311000000.0,1366000000.0,-969000000.0,-219000000.0,-470000000.0,51.18,0
2021-06-30,5564000000.0,2968000000.0,2596000000.0,1161000000.0,1373000000.0,1105000000.0,1.63,1716000000.0,1435000000.0,678050000.0,5469000000.0,788000000.0,6257000000.0,155235000000.0,161492000000.0,108286000000.0,8121000000.0,19471000000.0,127757000000.0,33735000000.0,281000000.0,962000000.0,130000000.0,-211000000.0,-671000000.0,53.66,0
2021-09-30,5237000000.0,2920000000.0,2317000000.0,1147000000.0,1113000000.0,888000000.0,1.33,1447000000.0,1170000000.0,668762000.0,6208000000.0,787000000.0,6995000000.0,153602000000.0,160597000000.0,107443000000.0,8066000000.0,19602000000.0,127045000000.0,33552000000.0,277000000.0,1853000000.0,-332000000.0,-217000000.0,-756000000.0,52.13,0
2021-12-31,5436000000.0,2883000000.0,2553000000.0,1263000000.0,1233000000.0,1039000000.0,1.58,1591000000.0,1290000000.0,673617000.0,5051000000.0,693000000.0,5744000000.0,151798000000.0,157542000000.0,105072000000.0,7956000000.0,19217000000.0,124289000000.0,33253000000.0,301000000.0,870000000.0,-1207000000.0,-208000000.0,-842000000.0,58.39,0
2022-03-31,5272000000.0,2787000000.0,2485000000.0,1153000000.0,1276000000.0,1032000000.0,1.5899999999999999,1654000000.0,1332000000.0,649753000.0,4275000000.0,730000000.0,5005000000.0,142041000000.0,147046000000.0,99643000000.0,7768000000.0,17876000000.0,117519000000.0,29527000000.0,322000000.0,1260000000.0,-1210000000.0,-250000000.0,-737000000.0,64.39,0
2022-06-30,5400000000.0,2577000000.0,2823000000.0,1067000000.0,1701000000.0,1388000000.0,2.17,2024000000.0,1756000000.0,640707000.0,5173000000.0,687000000.0,5860000000.0,129769000000.0,135629000000.0,90618000000.0,7416000000.0,18624000000.0,109242000000.0,26387000000.0,268000000.0,510000000.0,1293000000.0,-248000000.0,-907000000.0,55.33,0
2022-09-30,4820000000.0,2607000000.0,2213000000.0,1051000000.0,1103000000.0,1596000000.0,2.54,1430000000.0,1162000000.0,629350000.0,4710000000.0,655000000.0,5365000000.0,122735000000.0,128100000000.0,86540000000.0,7518000000.0,17408000000.0,103948000000.0,24152000000.0,268000000.0,1076000000.0,-930000000.0,-242000000.0,-612000000.0,56.2,0
