,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,2910000000.0,2910000000.0,1342000000.0,1222000000.0,843000000.0,5.08,1302000000.0,1222000000.0,166045300.0,5749000000.0,2542000000.0,8291000000.0,213925000000.0,222216000000.0,0.0,2904000000.0,35734000000.0,191089000000.0,193993000000.0,28223000000.0,80000000.0,1351000000.0,-26000000.0,-37000000.0,-362000000.0,-509000000.0,297.47
2015-12-31,2863000000.0,2863000000.0,1399000000.0,1137000000.0,861000000.0,5.19,1199000000.0,1137000000.0,166390000.0,6231000000.0,2237000000.0,8468000000.0,216793000000.0,225261000000.0,0.0,3039000000.0,36266000000.0,193642000000.0,196681000000.0,28580000000.0,62000000.0,1157000000.0,-61000000.0,-323000000.0,-361000000.0,-364000000.0,340.52
2016-03-31,2624000000.0,2624000000.0,1265000000.0,963000000.0,657000000.0,3.9699999999999998,1029000000.0,963000000.0,165388100.0,5084000000.0,2526000000.0,7610000000.0,215348000000.0,222958000000.0,0.0,2057000000.0,35544000000.0,192432000000.0,194489000000.0,28469000000.0,66000000.0,-565000000.0,-30000000.0,46000000.0,-419000000.0,-547000000.0,340.57
2016-06-30,2804000000.0,2804000000.0,1293000000.0,1173000000.0,789000000.0,4.79,1240000000.0,1173000000.0,164758600.0,5237000000.0,2885000000.0,8122000000.0,213933000000.0,222055000000.0,0.0,2679000000.0,35858000000.0,190741000000.0,193420000000.0,28635000000.0,67000000.0,467000000.0,-37000000.0,-20000000.0,-376000000.0,-263000000.0,342.53
2016-09-30,2837000000.0,2837000000.0,1281000000.0,1209000000.0,875000000.0,5.33,1274000000.0,1209000000.0,164129200.0,5615000000.0,2601000000.0,8216000000.0,218523000000.0,226739000000.0,0.0,2835000000.0,35072000000.0,194943000000.0,197778000000.0,28961000000.0,65000000.0,1060000000.0,-21000000.0,-269000000.0,-376000000.0,-370000000.0,362.46
2016-12-31,3996000000.0,3996000000.0,1317000000.0,1220000000.0,847000000.0,5.21,1285000000.0,1220000000.0,164425900.0,6175000000.0,2115000000.0,8290000000.0,211887000000.0,220177000000.0,0.0,2760000000.0,32923000000.0,188267000000.0,191027000000.0,29150000000.0,65000000.0,1311000000.0,-31000000.0,-128000000.0,-374000000.0,-505000000.0,380.54
2017-03-31,3092000000.0,3092000000.0,1317000000.0,1143000000.0,859000000.0,5.29,1206000000.0,1143000000.0,163016600.0,5814000000.0,3227000000.0,9041000000.0,221545000000.0,230586000000.0,0.0,2769000000.0,35864000000.0,198611000000.0,201380000000.0,29206000000.0,63000000.0,-164000000.0,-19000000.0,-49000000.0,-447000000.0,-180000000.0,383.51
2017-06-30,3236000000.0,3236000000.0,1343000000.0,1237000000.0,854000000.0,5.27,1299000000.0,1237000000.0,162502500.0,5582000000.0,2984000000.0,8566000000.0,208922000000.0,217488000000.0,0.0,2660000000.0,31534000000.0,185212000000.0,187872000000.0,29616000000.0,62000000.0,1344000000.0,-36000000.0,-333000000.0,-407000000.0,-1283000000.0,422.41
2017-09-30,3508000000.0,3508000000.0,1442000000.0,1389000000.0,944000000.0,5.85,1454000000.0,1389000000.0,161872700.0,6247000000.0,3183000000.0,9430000000.0,211137000000.0,220567000000.0,0.0,3266000000.0,32750000000.0,187204000000.0,190470000000.0,30097000000.0,65000000.0,1360000000.0,-45000000.0,-129000000.0,-405000000.0,-620000000.0,447.09
2017-12-31,3764000000.0,3764000000.0,1597000000.0,1485000000.0,2295000000.0,14.29,1535000000.0,1485000000.0,162160600.0,7038000000.0,2699000000.0,9737000000.0,210504000000.0,220241000000.0,0.0,8328000000.0,24190000000.0,180065000000.0,188393000000.0,31848000000.0,50000000.0,1410000000.0,-55000000.0,-97000000.0,-403000000.0,-547000000.0,513.71
