,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2016-12-31,912900000.0,912900000.0,247000000.0,537999900.0,373400100.0,1.1,595799900.0,537999900.0,337496000.0,1951900000.0,364400000.0,40031500000.0,29337900000.0,69369400000.0,0.0,38945600000.0,2231200000.0,10083100000.0,49028700000.0,20340700000.0,57800000.0,499600000.0,-28900000.0,117500000.0,-202900000.0,-179800000.0,115.35
2017-03-31,929300000.0,929300000.0,230000000.0,600900000.0,399800000.0,1.18,654300000.0,600900000.0,338339000.0,1374900000.0,426600000.0,46368500000.0,29107500000.0,75476000000.0,0.0,44804800000.0,2231600000.0,10117000000.0,54921800000.0,20554200000.0,53400000.0,519400000.0,-20000000.0,224200000.0,-1322600000.0,-1323700000.0,118.8
2017-06-30,924600000.0,924600000.0,225400000.0,605200000.0,415800000.0,1.23,657999900.0,605200000.0,338556000.0,1446600000.0,416400000.0,49496900000.0,29046900000.0,78543800000.0,0.0,47669600000.0,2232100000.0,10097400000.0,57767000000.0,20776800000.0,52800000.0,264000000.0,-17600000.0,-19400000.0,-223500000.0,-210400000.0,125.24
2017-09-30,890800000.0,890800000.0,234400000.0,567600000.0,308600000.0,0.91,618300000.0,567600000.0,338771000.0,1719100000.0,390300000.0,49392500000.0,28930500000.0,78323000000.0,0.0,47223000000.0,2232600000.0,10236100000.0,57459100000.0,20863900000.0,50700000.0,507300000.0,-15400000.0,-4000000.0,-223500000.0,-234400000.0,135.68
2017-12-31,899999900.0,899999900.0,239600000.0,536899900.0,2939200000.0,8.67,588499900.0,536900100.0,338707000.0,1993700000.0,359700000.0,46906500000.0,28884700000.0,75791200000.0,0.0,45672900000.0,2233100000.0,7706500000.0,53379400000.0,22411800000.0,51600000.0,460400000.0,-28900000.0,-20900000.0,-223900000.0,-216800000.0,146.05
2018-03-31,1109000000.0,1109000000.0,270300000.0,740900000.0,598800000.0,1.76,792700000.0,740900000.0,339305000.0,875000000.0,444100000.0,41054800000.0,28864500000.0,69919300000.0,0.0,39445300000.0,2233500000.0,7701200000.0,47146500000.0,22772800000.0,51800000.0,825000000.0,-18200000.0,-17400000.0,-1424800000.0,-1435300000.0,161.74
2018-06-30,1059600000.0,1059600000.0,247800000.0,666900000.0,566100000.0,1.67,717999900.0,666900000.0,339465000.0,1179800000.0,433900000.0,40300500000.0,28898800000.0,69199300000.0,0.0,37179600000.0,3419000000.0,8896100000.0,46075700000.0,23123600000.0,51100000.0,522800000.0,-11400000.0,9700000.0,-237700000.0,925000000.0,163.92
2018-09-30,904200000.0,904200000.0,234300000.0,549900000.0,411800000.0,1.21,603800000.0,549900000.0,339586000.0,1489100000.0,386300000.0,41514800000.0,28849300000.0,70364100000.0,0.0,38154100000.0,3419600000.0,8914301000.0,47068400000.0,23295700000.0,53900000.0,582600000.0,-31300000.0,-31200000.0,-237600000.0,-257500000.0,170.21
2018-12-31,1236600000.0,1236600000.0,373700100.0,649900100.0,385499900.0,1.1,741800000.0,649899800.0,342344000.0,1447400000.0,553300000.0,41886700000.0,35589000000.0,77475700000.0,574200000.0,41272600000.0,3826800000.0,10237800000.0,51510400000.0,25965300000.0,91900000.0,510400000.0,-55800000.0,-1850700000.0,-249800000.0,-312200000.0,188.12
2019-03-31,1179600000.0,1179600000.0,357300000.0,631000000.0,496900000.0,1.3900000000000001,744600000.0,631000000.0,356886000.0,1079800000.0,559500000.0,35605200000.0,36009300000.0,71614500000.0,0.0,34272400000.0,4292000000.0,11155600000.0,45428000000.0,26186500000.0,113600000.0,669200000.0,-49100000.0,-48600000.0,-892100000.0,-997700000.0,164.58
