,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,846000000.0,846000000.0,570000000.0,27000000.0,117000000.0,1.7219,75000000.0,27000000.0,68000000.0,466000000.0,1100000000.0,1566000000.0,16247000000.0,17813000000.0,323000000.0,843000000.0,2248000000.0,14484000000.0,15327000000.0,2486000000.0,48000000.0,106000000.0,-53000000.0,-100000000.0,-56000000.0,-10000000.0,108.53
2015-12-31,974000000.0,974000000.0,605000000.0,2000000.0,-24000000.0,-0.35000000000000003,50000000.0,2000000.0,68000000.0,532000000.0,1258000000.0,1790000000.0,17049000000.0,18839000000.0,988000000.0,1740000000.0,2278000000.0,14739000000.0,16479000000.0,2360000000.0,48000000.0,131000000.0,-46000000.0,-595000000.0,-112000000.0,546000000.0,128.66
2016-03-31,2234000000.0,2234000000.0,1196000000.0,326000000.0,238000000.0,1.76,530000000.0,326000000.0,135000000.0,954000000.0,2268000000.0,3222000000.0,29807000000.0,33029000000.0,1144000000.0,2253000000.0,2767000000.0,19472000000.0,21725000000.0,11304000000.0,204000000.0,119000000.0,-66000000.0,417000000.0,0.0,-116000000.0,118.66
2016-06-30,1949000000.0,1949000000.0,1201000000.0,136000000.0,72000000.0,0.52,305000000.0,136000000.0,139000000.0,949000000.0,2187000000.0,3136000000.0,29273000000.0,32409000000.0,528000000.0,1749000000.0,3281000000.0,19472000000.0,21221000000.0,11188000000.0,169000000.0,317000000.0,-68000000.0,-109000000.0,-67000000.0,-208000000.0,124.31
2016-09-30,1777000000.0,1777000000.0,1119000000.0,1000000.0,-32000000.0,-0.23,203000000.0,1000000.0,138000000.0,767000000.0,2043000000.0,2810000000.0,28991000000.0,31801000000.0,519000000.0,1801000000.0,3267000000.0,19099000000.0,20900000000.0,10901000000.0,202000000.0,185000000.0,-81000000.0,-25000000.0,-66000000.0,-335000000.0,132.77
2016-12-31,1927000000.0,1927000000.0,1333000000.0,-115000000.0,142000000.0,0.25,79000000.0,-115000000.0,137000000.0,870000000.0,2080000000.0,2950000000.0,27303000000.0,30253000000.0,508000000.0,1989000000.0,3357000000.0,18081000000.0,20070000000.0,10183000000.0,194000000.0,312000000.0,-89000000.0,-88000000.0,-87000000.0,-116000000.0,122.28
2017-03-31,2319000000.0,2319000000.0,1253000000.0,401000000.0,344000000.0,2.5,604000000.0,401000000.0,137000000.0,901000000.0,2307000000.0,3208000000.0,29024000000.0,32232000000.0,120000000.0,1323000000.0,3975000000.0,20505000000.0,21828000000.0,10404000000.0,203000000.0,95000000.0,-77000000.0,-82000000.0,-65000000.0,14000000.0,130.89
2017-06-30,1953000000.0,1953000000.0,1211000000.0,61000000.0,33000000.0,0.24,270000000.0,61000000.0,136000000.0,852000000.0,2288000000.0,3140000000.0,29634000000.0,32774000000.0,85000000.0,1396000000.0,4097000000.0,20991000000.0,22387000000.0,10387000000.0,209000000.0,224000000.0,-74000000.0,-73000000.0,-72000000.0,-210000000.0,145.46
2017-09-30,1852000000.0,1852000000.0,1212000000.0,-26000000.0,-54000000.0,-0.4,172000000.0,-26000000.0,134000000.0,912000000.0,2155000000.0,3067000000.0,29205000000.0,32272000000.0,85000000.0,1557000000.0,4493000000.0,20689000000.0,22246000000.0,10026000000.0,198000000.0,196000000.0,-99000000.0,-107000000.0,-72000000.0,-50000000.0,154.23
2017-12-31,2078000000.0,2078000000.0,1291000000.0,80000000.0,245000000.0,1.85,303000000.0,80000000.0,135000000.0,1030000000.0,2246000000.0,3276000000.0,29182000000.0,32458000000.0,85000000.0,1796000000.0,4450000000.0,20413000000.0,22209000000.0,10249000000.0,223000000.0,347000000.0,-68000000.0,-73000000.0,-119000000.0,-233000000.0,150.69
