,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,4871000000.0,3503000000.0,1368000000.0,568000000.0,737000000.0,528000000.0,1.62,781000000.0,737000000.0,324211000.0,1038000000.0,16715000000.0,17753000000.0,80007000000.0,97760000000.0,2103000000.0,63155000000.0,4157000000.0,5478000000.0,68633000000.0,29127000000.0,44000000.0,808000000.0,-405000000.0,-217000000.0,-118000000.0,103.4
2015-12-31,4679000000.0,3197000000.0,1482000000.0,570000000.0,867000000.0,683000000.0,2.08,1081000000.0,867000000.0,325589000.0,1775000000.0,16896000000.0,18671000000.0,83635000000.0,102306000000.0,1404000000.0,62428000000.0,9389000000.0,10743000000.0,73171000000.0,29135000000.0,214000000.0,1165000000.0,-4869000000.0,-218000000.0,4472000000.0,116.85
2016-03-31,6877000000.0,5213000000.0,1664000000.0,772000000.0,857000000.0,439000000.0,0.98,1601000000.0,857000000.0,446740000.0,1091000000.0,20768000000.0,21859000000.0,134785000000.0,156644000000.0,1903000000.0,95657000000.0,12636000000.0,15090000000.0,110747000000.0,45897000000.0,744000000.0,1020000000.0,-1615000000.0,-218000000.0,-102000000.0,119.15
2016-06-30,7897000000.0,5960000000.0,1937000000.0,829000000.0,1132000000.0,726000000.0,1.54,1859000000.0,1132000000.0,467701000.0,1011000000.0,21966000000.0,22977000000.0,137226000000.0,160203000000.0,1905000000.0,97486000000.0,12631000000.0,15491000000.0,112977000000.0,47226000000.0,727000000.0,1133000000.0,-1057000000.0,-312000000.0,-167000000.0,130.71
2016-09-30,8527000000.0,5938000000.0,2589000000.0,772000000.0,1904000000.0,1360000000.0,2.88,2406000000.0,1904000000.0,468021000.0,870000000.0,22136000000.0,23006000000.0,138804000000.0,161810000000.0,1906000000.0,97950000000.0,12621000000.0,15488000000.0,113438000000.0,48372000000.0,502000000.0,1684000000.0,-1602000000.0,-321000000.0,-241000000.0,125.65
2016-12-31,8168000000.0,5433000000.0,2735000000.0,708000000.0,2154000000.0,1610000000.0,3.41,2496000000.0,2154000000.0,462520000.0,985000000.0,22729000000.0,23714000000.0,136072000000.0,159786000000.0,1903000000.0,96512000000.0,12610000000.0,14999000000.0,111511000000.0,48275000000.0,342000000.0,1455000000.0,-1048000000.0,-322000000.0,-232000000.0,132.12
2017-03-31,7510000000.0,5354000000.0,2156000000.0,676000000.0,1486000000.0,1093000000.0,2.31,1734000000.0,1486000000.0,468903000.0,1063000000.0,22836000000.0,23899000000.0,137068000000.0,160967000000.0,1704000000.0,97096000000.0,12300000000.0,14647000000.0,111743000000.0,49224000000.0,248000000.0,1013000000.0,-66000000.0,-324000000.0,-858000000.0,136.25
2017-06-30,8108000000.0,5758000000.0,2350000000.0,706000000.0,1724000000.0,1305000000.0,2.77,1958000000.0,1724000000.0,467981000.0,1297000000.0,23218000000.0,24515000000.0,138473000000.0,162988000000.0,2330000000.0,97996000000.0,11667000000.0,14643000000.0,112639000000.0,50349000000.0,234000000.0,627000000.0,189000000.0,-322000000.0,-585000000.0,145.38
2017-09-30,8610000000.0,7904000000.0,706000000.0,714000000.0,45000000.0,-70000000.0,-0.15,283000000.0,45000000.0,466371000.0,1088000000.0,24543000000.0,25631000000.0,141947000000.0,167578000000.0,2428000000.0,102344000000.0,11559000000.0,14763000000.0,117107000000.0,50471000000.0,238000000.0,1771000000.0,-1464000000.0,-332000000.0,-527000000.0,142.55
2017-12-31,8015000000.0,5895000000.0,2120000000.0,737000000.0,1384000000.0,1533000000.0,3.27,1618000000.0,1384000000.0,467146000.0,851000000.0,24552000000.0,25403000000.0,141619000000.0,167022000000.0,2421000000.0,101550000000.0,11556000000.0,14300000000.0,115850000000.0,51172000000.0,234000000.0,1092000000.0,-1081000000.0,-330000000.0,-349000000.0,146.13
