,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,3115000000.0,3115000000.0,1878000000.0,461000000.0,323000000.0,0.61,569000000.0,461000000.0,528000000.0,1330000000.0,3517000000.0,5526000000.0,12198000000.0,17724000000.0,0.0,3404000000.0,4422000000.0,7977000000.0,11381000000.0,6343000000.0,108000000.0,877000000.0,-72000000.0,-215000000.0,-168000000.0,-145000000.0,52.22
2015-12-31,3338000000.0,3338000000.0,1900000000.0,594000000.0,375000000.0,0.72,705000000.0,594000000.0,531000000.0,1374000000.0,3471000000.0,5044000000.0,13172000000.0,18216000000.0,0.0,3708000000.0,4402000000.0,7906000000.0,11614000000.0,6602000000.0,111000000.0,899000000.0,-76000000.0,-522000000.0,-177000000.0,-267000000.0,55.45
2016-03-31,3336000000.0,3336000000.0,1854000000.0,733000000.0,481000000.0,0.92,844000000.0,733000000.0,521000000.0,918000000.0,3647000000.0,4798000000.0,13330000000.0,18128000000.0,0.0,3159000000.0,4748000000.0,8198000000.0,11357000000.0,6771000000.0,111000000.0,-581000000.0,-50000000.0,-126000000.0,-167000000.0,245000000.0,60.79
2016-06-30,3376000000.0,3376000000.0,1872000000.0,726000000.0,472000000.0,0.91,836000000.0,726000000.0,521000000.0,974000000.0,3721000000.0,4930000000.0,13146000000.0,18076000000.0,0.0,3504000000.0,4496000000.0,7867000000.0,11371000000.0,6705000000.0,110000000.0,810000000.0,-63000000.0,-64000000.0,-170000000.0,-621000000.0,68.46
2016-09-30,3135000000.0,3135000000.0,1817000000.0,572000000.0,379000000.0,0.73,681000000.0,572000000.0,518000000.0,1388000000.0,3603000000.0,5209000000.0,13149000000.0,18358000000.0,0.0,3825000000.0,4494000000.0,7779000000.0,11604000000.0,6754000000.0,109000000.0,883000000.0,-56000000.0,-68000000.0,-179000000.0,-407000000.0,67.25
2016-12-31,3364000000.0,3364000000.0,2151000000.0,400000000.0,436000000.0,0.85,508000000.0,400000000.0,519000000.0,1026000000.0,3643000000.0,4884000000.0,13306000000.0,18190000000.0,0.0,4082000000.0,4495000000.0,7836000000.0,11918000000.0,6272000000.0,108000000.0,895000000.0,-80000000.0,-798000000.0,-187000000.0,-284000000.0,67.59
2017-03-31,3503000000.0,3503000000.0,2005000000.0,749000000.0,569000000.0,1.1,869000000.0,749000000.0,515000000.0,930000000.0,3795000000.0,4981000000.0,13988000000.0,18969000000.0,0.0,3588000000.0,5479000000.0,8762000000.0,12350000000.0,6619000000.0,120000000.0,-399000000.0,-61000000.0,-461000000.0,-176000000.0,697000000.0,73.89
2017-06-30,3495000000.0,3495000000.0,1998000000.0,701000000.0,501000000.0,0.98,817000000.0,701000000.0,514000000.0,966000000.0,3984000000.0,5182000000.0,14260000000.0,19442000000.0,0.0,3649000000.0,5479000000.0,8719000000.0,12368000000.0,7074000000.0,116000000.0,742000000.0,-79000000.0,-77000000.0,-188000000.0,-681000000.0,77.96
2017-09-30,3341000000.0,3341000000.0,1968000000.0,535000000.0,393000000.0,0.77,655000000.0,535000000.0,512000000.0,1078000000.0,3909000000.0,5215000000.0,14475000000.0,19690000000.0,0.0,3814000000.0,5475000000.0,8745000000.0,12559000000.0,7131000000.0,120000000.0,794000000.0,-73000000.0,-321000000.0,-195000000.0,-543000000.0,83.81
2017-12-31,3685000000.0,3685000000.0,2114000000.0,670000000.0,29000000.0,0.06,795000000.0,670000000.0,513000000.0,1205000000.0,4133000000.0,5562000000.0,14867000000.0,20429000000.0,0.0,4262000000.0,5225000000.0,8725000000.0,12987000000.0,7442000000.0,125000000.0,756000000.0,-81000000.0,-97000000.0,-203000000.0,-482000000.0,81.39
