,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,4054000000.0,279000000.0,3775000000.0,2433000000.0,1342000000.0,991000000.0,1.9300000000000002,512000000.0,41494000000.0,245300000000.0,116825000000.0,362125000000.0,0.0,253366000000.0,53461000000.0,62481000000.0,315847000000.0,46278000000.0,272000000.0,1977000000.0,-5051000000.0,-263000000.0,2497000000.0,89.2
2015-12-31,4119000000.0,266000000.0,3853000000.0,2470000000.0,1383000000.0,948000000.0,1.9,514000000.0,34611000000.0,240120000000.0,118373000000.0,358493000000.0,0.0,257720000000.0,49962000000.0,54793000000.0,312513000000.0,45980000000.0,286000000.0,1892000000.0,-2726000000.0,-259000000.0,1064000000.0,95.31
2016-03-31,3974000000.0,309000000.0,3665000000.0,2433000000.0,1232000000.0,853000000.0,1.7000000000000002,501000000.0,36346000000.0,242661000000.0,118324000000.0,360985000000.0,0.0,257704000000.0,51683000000.0,56953000000.0,314657000000.0,46328000000.0,270000000.0,276000000.0,-908000000.0,-260000000.0,428000000.0,84.57
2016-06-30,4110000000.0,316000000.0,3794000000.0,2487000000.0,1307000000.0,917000000.0,1.8399999999999999,497000000.0,34428000000.0,243095000000.0,118240000000.0,361335000000.0,0.0,256478000000.0,52951000000.0,58158000000.0,314636000000.0,46699000000.0,291000000.0,485000000.0,819000000.0,-256000000.0,-969000000.0,81.39
2016-09-30,4142000000.0,313000000.0,3829000000.0,2481000000.0,1348000000.0,924000000.0,1.87,490000000.0,34919000000.0,244799000000.0,124549000000.0,369348000000.0,0.0,266356000000.0,50306000000.0,56147000000.0,322503000000.0,46845000000.0,356000000.0,1534000000.0,-7515000000.0,-275000000.0,6316000000.0,90.09
2016-12-31,4197000000.0,323000000.0,3874000000.0,2508000000.0,1366000000.0,968000000.0,2.01,494000000.0,30590000000.0,241338000000.0,125042000000.0,366380000000.0,0.0,266519000000.0,48530000000.0,53007000000.0,319526000000.0,46854000000.0,276000000.0,1205000000.0,297000000.0,-270000000.0,-1154000000.0,116.96
2017-03-31,4244000000.0,360000000.0,3884000000.0,2490000000.0,1394000000.0,967000000.0,1.99,487000000.0,32880000000.0,244559000000.0,126385000000.0,370944000000.0,0.0,269674000000.0,50183000000.0,55367000000.0,325041000000.0,45903000000.0,279000000.0,1590000000.0,-5620000000.0,-271000000.0,4154000000.0,120.24
2017-06-30,4476000000.0,416000000.0,4060000000.0,2577000000.0,1483000000.0,1026000000.0,2.12,484000000.0,27521000000.0,245024000000.0,127166000000.0,372190000000.0,0.0,269295000000.0,56406000000.0,56710000000.0,326005000000.0,46185000000.0,289000000.0,630000000.0,851000000.0,-269000000.0,-1445000000.0,124.87
2017-09-30,4575000000.0,450000000.0,4125000000.0,2586000000.0,1539000000.0,1050000000.0,2.18,479000000.0,29449000000.0,249717000000.0,125474000000.0,375191000000.0,0.0,270882000000.0,57564000000.0,57857000000.0,328739000000.0,46452000000.0,291000000.0,2495000000.0,-4735000000.0,-364000000.0,1937000000.0,134.77
2017-12-31,4740000000.0,480000000.0,4260000000.0,3186000000.0,1074000000.0,2010000000.0,4.23,481000000.0,33844000000.0,254346000000.0,126422000000.0,380768000000.0,0.0,273798000000.0,54299000000.0,59385000000.0,333183000000.0,47585000000.0,258000000.0,864000000.0,-5391000000.0,-362000000.0,5040000000.0,144.29
2018-03-31,4668000000.0,557000000.0,4111000000.0,2619000000.0,1492000000.0,1165000000.0,2.45,473000000.0,33470000000.0,253445000000.0,125716000000.0,379161000000.0,0.0,273797000000.0,53431000000.0,58329000000.0,332126000000.0,47035000000.0,280000000.0,2922000000.0,-1250000000.0,-358000000.0,-2272000000.0,151.24
2018-06-30,4993000000.0,669000000.0,4324000000.0,2664000000.0,1660000000.0,1290000000.0,2.74,469000000.0,27397000000.0,248996000000.0,131715000000.0,380711000000.0,0.0,274225000000.0,54413000000.0,59511000000.0,333736000000.0,46975000000.0,287000000.0,1617000000.0,-1209000000.0,-355000000.0,368000000.0,135.1
2018-09-30,5114000000.0,757000000.0,4357000000.0,2696000000.0,1661000000.0,1325000000.0,2.84,465000000.0,25048000000.0,246625000000.0,133455000000.0,380080000000.0,0.0,274735000000.0,52476000000.0,58243000000.0,332978000000.0,47102000000.0,272000000.0,1164000000.0,805000000.0,-446000000.0,-2146000000.0,136.19
2018-12-31,4276000000.0,878000000.0,3398000000.0,2725000000.0,673000000.0,1281000000.0,2.77,467000000.0,16501000000.0,241111000000.0,141204000000.0,382315000000.0,0.0,276841000000.0,52414000000.0,57704000000.0,334545000000.0,47770000000.0,290000000.0,2137000000.0,-2315000000.0,-442000000.0,538000000.0,116.91
