,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,221418000.0,72827000.0,148591000.0,15824000.0,40201000.0,12361000.0,0.05,132226000.0,40201000.0,259114000.0,946968000.0,962462000.0,5960268000.0,6922730000.0,0.0,112304000.0,3513234000.0,3935208000.0,4047512000.0,2875218000.0,92025000.0,88799000.0,-58997000.0,-64416000.0,-74512000.0,-26052000.0,34.48
2015-12-31,237605000.0,78034000.0,159571000.0,17993000.0,34815000.0,165485000.0,0.62,141623000.0,34815000.0,258669000.0,966446000.0,983140000.0,6680704000.0,7663844000.0,0.0,129304000.0,3570795000.0,4633929000.0,4763233000.0,2900611000.0,106808000.0,152825000.0,-46466000.0,-37269000.0,-75603000.0,-110135000.0,37.57
2016-03-31,234815000.0,75954000.0,158861000.0,13844000.0,38125000.0,9464000.0,0.04,145017000.0,38125000.0,262456000.0,24698000.0,41392000.0,7560176000.0,7601568000.0,0.0,122412000.0,3411825000.0,4505403000.0,4627815000.0,2973753000.0,106892000.0,112761000.0,-61626000.0,-45226000.0,-79789000.0,-70609000.0,38.53
2016-06-30,238786000.0,77239000.0,161547000.0,10835000.0,41660000.0,17017000.0,0.06,149083000.0,41660000.0,266268000.0,959094000.0,978788000.0,6631294000.0,7610082000.0,0.0,141178000.0,3465177000.0,4520035000.0,4661213000.0,2948869000.0,107423000.0,113709000.0,-55565000.0,-77229000.0,-86347000.0,-34981000.0,36.92
2016-09-30,243252000.0,78142000.0,165110000.0,11826000.0,45751000.0,26027000.0,0.1,153079000.0,45751000.0,266301000.0,942475000.0,962168900.0,6689000000.0,7651169000.0,0.0,155766000.0,3544390000.0,4569405000.0,4725171000.0,2925998000.0,107328000.0,156652000.0,-83540000.0,-149147000.0,-86137000.0,-9371000.0,35.99
2016-12-31,243008000.0,77773000.0,165235000.0,13256000.0,275285000.0,236493000.0,0.89,379280000.0,275285100.0,265386000.0,849131000.0,868921000.0,6810663000.0,7679584000.0,0.0,150480000.0,3401478000.0,4432134000.0,4582614000.0,3096970000.0,103995000.0,153446000.0,-73727000.0,158882000.0,-86338000.0,-314321000.0,36.48
2017-03-31,243841000.0,78114000.0,165727000.0,13075000.0,45510000.0,25038000.0,0.09,152150000.0,45510000.0,266790000.0,841207000.0,860996900.0,6874914000.0,7735911000.0,0.0,125600000.0,3537292000.0,4570400000.0,4696000000.0,3039911000.0,106640000.0,120261000.0,-86210000.0,-162823000.0,-86418000.0,42673000.0,36.26
2017-06-30,247979000.0,79132000.0,168847000.0,11434000.0,46205000.0,9228000.0,0.03,156222000.0,46205000.0,266972000.0,864180000.0,881470000.0,6886464000.0,7767934000.0,0.0,140238000.0,3634648000.0,4729228000.0,4869466000.0,2898468000.0,110017000.0,119356000.0,-95575000.0,-119892000.0,-90807000.0,-668000.0,38.97
2017-09-30,251091000.0,82320000.0,168771000.0,12467000.0,45492000.0,15264000.0,0.06,154248000.0,45492000.0,267056000.0,862065000.0,880659000.0,6880046000.0,7760705000.0,0.0,161538000.0,3679011000.0,4746266000.0,4907804000.0,2852901000.0,108756000.0,149659000.0,-103534000.0,-100656000.0,-90832000.0,-47815000.0,38.03
2017-12-31,252880000.0,82368000.0,170512000.0,11590000.0,90691000.0,68320000.0,0.26,201740100.0,90691000.0,267024000.0,742660000.0,762129000.0,6971144000.0,7733273000.0,0.0,154737000.0,3671663000.0,4743172000.0,4897909000.0,2835364000.0,111049000.0,129639000.0,-89339000.0,-24035000.0,-90825000.0,-105975000.0,38.52
