,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2015-09-30,932590000.0,703307000.0,229283000.0,0.0,72324000.0,74549000.0,0.20670000000000002,72324000.0,72324000.0,361701000.0,649779000.0,5491591000.0,6141370000.0,17629220000.0,23770590000.0,13224260000.0,2483478000.0,3609353000.0,16833620000.0,6936977000.0,0.0,422380000.0,-10901000.0,-461596000.0,-4497000.0,172540000.0,24.49,0
2015-12-31,902004000.0,658731100.0,243272900.0,0.0,50762500.0,53094000.0,0.1467,50762500.0,50762700.0,365358000.0,553326000.0,4810226000.0,5363552000.0,17775380000.0,23138930000.0,13169600000.0,1780580000.0,3063960000.0,16233560000.0,6905373000.0,22926000.0,190327000.0,-4835000.0,-413125000.0,-4497000.0,129438000.0,23.25,0
2016-03-31,1086676000.0,690787000.0,395889000.0,9383000.0,231610000.0,149314000.0,0.4133,236358000.0,231610000.0,361284000.0,557961000.0,5531189000.0,6089150000.0,18452220000.0,24541370000.0,13763670000.0,2338515000.0,3609201000.0,17372870000.0,7168502000.0,4748000.0,322543000.0,-3952000.0,-233267000.0,-4497000.0,-86973000.0,23.7,0
2016-06-30,1191152000.0,757269000.0,433883000.0,17200000.0,254489000.0,205570000.0,0.5667,259369000.0,254489000.0,361797200.0,516591000.0,5579272000.0,6095863000.0,18316050000.0,24411920000.0,13986420000.0,1910374000.0,2932987000.0,16919410000.0,7492511000.0,4880000.0,218681000.0,-4332000.0,-122401000.0,-4497000.0,-126412000.0,24.0,0
2016-09-30,1197501000.0,685450000.0,512051000.0,18485000.0,335415000.0,247388000.0,0.6833,340280000.0,335415000.0,362816800.0,578816000.0,5734747000.0,6313563000.0,19329670000.0,25643230000.0,14202440000.0,2129625000.0,3253662000.0,17456100000.0,8187130000.0,4865000.0,495915000.0,-3281000.0,-899440000.0,-4497000.0,467176000.0,26.42,0
2016-12-31,988227300.0,719718300.0,268509000.0,36678000.0,63638900.0,62396000.0,0.16670000000000001,68488900.0,63638700.0,362376000.0,842942000.0,5821860000.0,6664802000.0,22707310000.0,29372110000.0,15625670000.0,3327645000.0,4640864000.0,20266540000.0,9105572000.0,4850000.0,340290000.0,-3738000.0,-1448325000.0,-4498000.0,1381878000.0,28.76,0
2017-03-31,1319176000.0,734859000.0,584317000.0,27792000.0,350512000.0,241909000.0,0.6000000000000001,381806000.0,350512000.0,402105000.0,703754000.0,6335137000.0,7038891000.0,23053330000.0,30092230000.0,16015710000.0,3395373000.0,4602491000.0,20618200000.0,9474030000.0,31294000.0,183658000.0,-5194000.0,-118413000.0,-4497000.0,-227669000.0,31.59,0
2017-06-30,1407537000.0,880296000.0,527241000.0,24876000.0,301560100.0,173818000.0,0.43,332384100.0,301560100.0,403460000.0,740320000.0,6470479000.0,7210799000.0,23651840000.0,30862640000.0,16388130000.0,3505596000.0,4698168000.0,21086300000.0,9776343000.0,30824000.0,349877000.0,-5909000.0,-170702000.0,-4497000.0,-100121000.0,31.1,0
2017-09-30,1479554000.0,1239995000.0,239559000.0,17098000.0,20510000.0,-52760000.0,-0.13,52334000.0,20510000.0,404656300.0,862361000.0,6973128000.0,7835489000.0,24789310000.0,32624800000.0,17319170000.0,4193675000.0,5533584000.0,22852760000.0,9772042000.0,31824000.0,527174000.0,-5759000.0,-583523000.0,-4497000.0,132876000.0,32.83,0
2017-12-31,1421108000.0,887754000.0,533354100.0,13986000.0,317908000.0,203535000.0,0.4867,349744000.0,317907700.0,404138400.0,606199000.0,6785953000.0,7392152000.0,24659510000.0,32051660000.0,17308020000.0,3474807000.0,4703629000.0,22011640000.0,10040010000.0,31836000.0,34169000.0,-5979000.0,-479244000.0,-4498000.0,191509000.0,30.26,0
