,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2018-06-30,3311000000.0,248000000.0,3063000000.0,2124000000.0,891000000.0,697000000.0,1.9100000000000001,365619000.0,84995000000.0,112150000000.0,136158000000.0,248308000000.0,0.0,215350000000.0,10387000000.0,10387000000.0,225737000000.0,22571000000.0,289000000.0,-1434000000.0,-138000000.0,7241000000.0,-189000000.0,-4467000000.0,93.09
2018-09-30,3233000000.0,244000000.0,2989000000.0,2049000000.0,893000000.0,708000000.0,1.8900000000000001,374963000.0,72959000000.0,99467000000.0,134540000000.0,234007000000.0,0.0,199119000000.0,10335000000.0,10335000000.0,209454000000.0,24553000000.0,287000000.0,5659000000.0,-151000000.0,13163000000.0,-209000000.0,-18326000000.0,83.78
2018-12-31,3308000000.0,285000000.0,3023000000.0,2389000000.0,553000000.0,396000000.0,1.05,371983000.0,81791000000.0,110716000000.0,133880000000.0,244596000000.0,0.0,208766000000.0,11093000000.0,11093000000.0,219859000000.0,24737000000.0,329000000.0,1114000000.0,-173000000.0,-15927000000.0,-220000000.0,13746000000.0,63.07
2019-03-31,3286000000.0,354000000.0,2932000000.0,2228000000.0,644000000.0,452000000.0,1.18,377915000.0,60711000000.0,87299000000.0,141033000000.0,228332000000.0,0.0,192112000000.0,11182000000.0,11182000000.0,203294000000.0,25038000000.0,304000000.0,-579000000.0,-171000000.0,21671000000.0,-234000000.0,-20304000000.0,65.81
2019-06-30,3267000000.0,394000000.0,2873000000.0,2084000000.0,730000000.0,537000000.0,1.44,373773000.0,68902000000.0,97453000000.0,144087000000.0,241540000000.0,0.0,204712000000.0,11374000000.0,11374000000.0,216086000000.0,25454000000.0,330000000.0,252000000.0,-171000000.0,-13118000000.0,-227000000.0,11976000000.0,56.06
2019-09-30,3260000000.0,357000000.0,2903000000.0,2096000000.0,748000000.0,528000000.0,1.44,366732000.0,69802000000.0,99998000000.0,144608000000.0,244606000000.0,0.0,207942000000.0,11455000000.0,11455000000.0,219397000000.0,25209000000.0,340000000.0,4964000000.0,-227000000.0,-5656000000.0,-230000000.0,1180000000.0,59.19
2019-12-31,3318000000.0,270000000.0,3048000000.0,2323000000.0,667000000.0,492000000.0,1.75,369911000.0,74668000000.0,104134000000.0,141476000000.0,245610000000.0,0.0,208670000000.0,12509000000.0,12509000000.0,221179000000.0,24431000000.0,363000000.0,1053000000.0,-161000000.0,-5523000000.0,-239000000.0,4174000000.0,79.1
2020-03-31,3269000000.0,204000000.0,3065000000.0,2222000000.0,785000000.0,580000000.0,1.62,353746000.0,154576000000.0,190132000000.0,172395000000.0,362527000000.0,35873000000.0,323128000000.0,15538000000.0,15538000000.0,338666000000.0,23861000000.0,332000000.0,4039000000.0,-114000000.0,-112773000000.0,-230000000.0,110364000000.0,53.27
2020-06-30,3052000000.0,115000000.0,2937000000.0,2064000000.0,815000000.0,662000000.0,1.88,352157000.0,98793000000.0,128747000000.0,151495000000.0,280242000000.0,15686000000.0,239782000000.0,15587000000.0,15587000000.0,255369000000.0,24873000000.0,352000000.0,1336000000.0,-157000000.0,74478000000.0,-215000000.0,-77061000000.0,63.55
2020-09-30,2826000000.0,42000000.0,2784000000.0,2029000000.0,696000000.0,517000000.0,1.47,352586000.0,86154000000.0,116346000000.0,155729000000.0,272075000000.0,13087000000.0,232664000000.0,13853000000.0,13853000000.0,246517000000.0,25558000000.0,-1302000000.0,-5219000000.0,-153000000.0,12173000000.0,-221000000.0,-5791000000.0,59.33
2020-12-31,2931000000.0,14000000.0,2917000000.0,2205000000.0,653000000.0,498000000.0,1.4100000000000001,352865000.0,124348000000.0,155256000000.0,159450000000.0,314706000000.0,9132000000.0,274701000000.0,13805000000.0,13805000000.0,288506000000.0,26200000000.0,2128000000.0,3376000000.0,-136000000.0,-39412000000.0,-223000000.0,34655000000.0,72.78
2021-03-31,2954000000.0,4000000.0,2950000000.0,2255000000.0,637000000.0,489000000.0,1.3900000000000001,350743000.0,118130000000.0,152899000000.0,163986000000.0,316885000000.0,1429000000.0,278044000000.0,13836000000.0,13836000000.0,291880000000.0,25005000000.0,417000000.0,-3732000000.0,-162000000.0,6804000000.0,-209000000.0,-1987000000.0,84.01
2021-06-30,3034000000.0,0.0,3034000000.0,2022000000.0,949000000.0,728000000.0,2.11,345889000.0,122684000000.0,156646000000.0,169882000000.0,326528000000.0,1293000000.0,288329000000.0,13032000000.0,13032000000.0,301361000000.0,25167000000.0,404000000.0,-7593000000.0,-197000000.0,-9892000000.0,-215000000.0,17552000000.0,82.28
2021-09-30,2990000000.0,0.0,2990000000.0,2034000000.0,894000000.0,693000000.0,1.99,347718000.0,115726000000.0,151835000000.0,171304000000.0,323139000000.0,1186000000.0,282847000000.0,12978000000.0,12978000000.0,295825000000.0,27314000000.0,377000000.0,388000000.0,-197000000.0,2610000000.0,-199000000.0,-3011000000.0,84.72
2021-12-31,3052000000.0,-1000000.0,3053000000.0,2235000000.0,756000000.0,662000000.0,1.81,352565000.0,113759000000.0,149482000000.0,165142000000.0,314624000000.0,1932000000.0,273786000000.0,13475000000.0,13475000000.0,287261000000.0,27363000000.0,359000000.0,4203000000.0,-255000000.0,-1731000000.0,-243000000.0,-3447000000.0,93.0
2022-03-31,3093000000.0,12000000.0,3081000000.0,2257000000.0,763000000.0,583000000.0,1.5899999999999999,366542000.0,108543000000.0,147044000000.0,175306000000.0,322350000000.0,4295000000.0,282204000000.0,13922000000.0,13922000000.0,296126000000.0,26224000000.0,293000000.0,4769000000.0,-138000000.0,-4332000000.0,-229000000.0,-1092000000.0,87.12
2022-06-30,3073000000.0,120000000.0,2953000000.0,2046000000.0,847000000.0,712000000.0,1.94,367375000.0,100806000000.0,137679000000.0,162544000000.0,300223000000.0,1024000000.0,260926000000.0,13530000000.0,13530000000.0,274456000000.0,25767000000.0,248000000.0,-6207000000.0,-182000000.0,17608000000.0,-245000000.0,-10862000000.0,61.65
2022-09-30,3400000000.0,441000000.0,2959000000.0,2039000000.0,862000000.0,669000000.0,1.82,367789000.0,103940000000.0,143482000000.0,160086000000.0,303568000000.0,4359000000.0,263921000000.0,13999000000.0,13999000000.0,277920000000.0,25648000000.0,196000000.0,1522000000.0,-210000000.0,-5292000000.0,-230000000.0,3003000000.0,60.81
2022-12-31,4126000000.0,971000000.0,3155000000.0,2176000000.0,920000000.0,696000000.0,0.0,359200000.0,111428000000.0,146915000000.0,154535000000.0,301450000000.0,0.0,261263000000.0,14996000000.0,14996000000.0,276259000000.0,25191000000.0,0.0,0.0,0.0,0.0,704000000.0,0.0,77.57
