,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2015-09-30,41489000000.0,31841000000.0,9648000000.0,3018000000.0,1597000000.0,1.65,3470000000.0,3018000000.0,953000000.0,9925000000.0,14419000000.0,29935000000.0,78337000000.0,108272000000.0,39953000000.0,26015000000.0,35197000000.0,75150000000.0,33122000000.0,452000000.0,2797000000.0,-356000000.0,-14570000000.0,-477000000.0,11951000000.0,116.01,0
2015-12-31,43599000000.0,34085000000.0,9514000000.0,2468000000.0,1218000000.0,1.26,2952000000.0,2468000000.0,953000000.0,12911000000.0,13324000000.0,31639000000.0,79615000000.0,111254000000.0,42898000000.0,25331000000.0,34631000000.0,77529000000.0,33725000000.0,484000000.0,3511000000.0,-484000000.0,-975000000.0,-476000000.0,409000000.0,117.64,0
2016-03-31,44527000000.0,34307000000.0,10220000000.0,2960000000.0,1611000000.0,1.67,3462000000.0,2960000000.0,953000000.0,13014000000.0,14642000000.0,33745000000.0,84110000000.0,117855000000.0,46285000000.0,27218000000.0,36503000000.0,82788000000.0,35067000000.0,502000000.0,2318000000.0,-425000000.0,-4181000000.0,-477000000.0,1502000000.0,128.9,0
2016-06-30,46485000000.0,35978000000.0,10507000000.0,3203000000.0,1754000000.0,1.81,3714000000.0,3203000000.0,951000000.0,10974000000.0,16701000000.0,33298000000.0,86305000000.0,119603000000.0,47376000000.0,26834000000.0,35940000000.0,83316000000.0,36287000000.0,511000000.0,1683000000.0,-388000000.0,-2232000000.0,-594000000.0,-1861000000.0,141.2,0
2016-09-30,46293000000.0,35165000000.0,11128000000.0,3580000000.0,1968000000.0,2.03,4095000000.0,3580000000.0,952000000.0,15667000000.0,14849000000.0,35768000000.0,87874000000.0,123642000000.0,51096000000.0,26022000000.0,34992000000.0,86088000000.0,37554000000.0,515000000.0,7203000000.0,-407000000.0,-2328000000.0,-595000000.0,-301000000.0,140.0,0
2016-12-31,47535000000.0,36004000000.0,11531000000.0,3187000000.0,1684000000.0,1.96,3714000000.0,3187000000.0,952000000.0,13275000000.0,15651000000.0,33879000000.0,88931000000.0,122810000000.0,49252000000.0,25777000000.0,35381000000.0,84633000000.0,38177000000.0,527000000.0,-1409000000.0,-485000000.0,-614000000.0,-595000000.0,-351000000.0,160.04,0
2017-03-31,48723000000.0,37755000000.0,10968000000.0,3413000000.0,2172000000.0,2.23,3946000000.0,3413000000.0,954000000.0,19352000000.0,16204000000.0,40989000000.0,96168000000.0,137157000000.0,57543000000.0,26154000000.0,35619000000.0,93162000000.0,43995000000.0,533000000.0,6456000000.0,-507000000.0,-2289000000.0,-596000000.0,1525000000.0,164.01,0
2017-06-30,50053000000.0,38438000000.0,11615000000.0,3731000000.0,2284000000.0,2.32,4287000000.0,3731000000.0,964000000.0,17970000000.0,17770000000.0,41239000000.0,96858000000.0,138097000000.0,57121000000.0,26197000000.0,35640000000.0,92761000000.0,45336000000.0,556000000.0,2171000000.0,-418000000.0,-1367000000.0,-724000000.0,-2337000000.0,185.42,0
2017-09-30,50322000000.0,38269000000.0,12053000000.0,4088000000.0,2485000000.0,2.51,4666000000.0,4088000000.0,968000000.0,19794000000.0,15464000000.0,40921000000.0,99511000000.0,140432000000.0,58088000000.0,24723000000.0,35034000000.0,93122000000.0,47310000000.0,578000000.0,7546000000.0,-466000000.0,-2239000000.0,-726000000.0,-3645000000.0,195.85,0
2017-12-31,52061000000.0,39686000000.0,12375000000.0,3977000000.0,3617000000.0,3.65,4555000000.0,3977000000.0,964000000.0,15490000000.0,15830000000.0,37084000000.0,101974000000.0,139058000000.0,50463000000.0,28835000000.0,38762000000.0,89225000000.0,49833000000.0,578000000.0,-2577000000.0,-632000000.0,-2704000000.0,-727000000.0,1016000000.0,220.46,0
