,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2020-03-31,493994000.0,131551000.0,362443000.0,210789000.0,151654000.0,99587000.0,1.8900000000000001,52546000.0,1553021000.0,42653450000.0,10203490000.0,53074710000.0,3911000000.0,43200590000.0,4865708000.0,4865708000.0,48310750000.0,4763961000.0,37062000.0,278147000.0,-14092000.0,-1920282000.0,-30007000.0,2405324000.0,80.39
2020-06-30,494446000.0,94649000.0,399797000.0,244881000.0,154916000.0,117214000.0,2.22,52672000.0,4570768000.0,49821240000.0,10311820000.0,60349810000.0,2828000000.0,50902050000.0,4341053000.0,4341053000.0,55487230000.0,4862582000.0,40674000.0,280271000.0,-5184000.0,-4328507000.0,-30028000.0,7065983000.0,106.92
2020-09-30,505705000.0,92779000.0,412926000.0,213227000.0,199699000.0,138550000.0,2.62,52673000.0,6413237000.0,52810500000.0,10733500000.0,63760310000.0,1995000000.0,55236880000.0,3296401000.0,3296401000.0,58777110000.0,4983199000.0,48616000.0,300582000.0,-10003000.0,-1489905000.0,-30026000.0,3031793000.0,82.99
2020-12-31,512748900.0,93575000.0,419173900.0,193251000.0,225922900.0,173008000.0,3.2800000000000002,52641000.0,12348330000.0,61358300000.0,12292640000.0,73888340000.0,2121000000.0,64128250000.0,3667833000.0,3667833000.0,68061440000.0,5826909000.0,56878000.0,45363000.0,-5763000.0,-4139866000.0,-30017000.0,10029600000.0,135.29
2021-03-31,524243000.0,85035000.0,439208000.0,197263000.0,241945000.0,180021000.0,3.27,54998000.0,19748310000.0,70815910000.0,14324980000.0,85382200000.0,2228000000.0,74876330000.0,3593372000.0,3593372000.0,78739790000.0,6642403000.0,65905000.0,698932000.0,-5360000.0,-4511832000.0,-30086000.0,11212880000.0,226.1
2021-06-30,560178000.0,79589000.0,480589000.0,180327000.0,300262000.0,205368000.0,3.59,57128000.0,24979970000.0,79830740000.0,16827620000.0,96887800000.0,2595000000.0,86451540000.0,3333764000.0,3333764000.0,90043230000.0,6844563000.0,84201000.0,46415000.0,-6574000.0,-6101798000.0,-32438000.0,11287040000.0,245.65
2021-09-30,587087000.0,74844000.0,512243000.0,185228000.0,327015000.0,232087000.0,3.91,59284000.0,28835660000.0,88098130000.0,19530060000.0,107850700000.0,2606000000.0,96686290000.0,3234118000.0,3234118000.0,100171600000.0,7679139000.0,95906000.0,-291144000.0,-10611000.0,-6368830000.0,-33753000.0,10515660000.0,272.28
2021-12-31,639765300.0,70389000.0,569376300.0,190824000.0,378552300.0,263078100.0,4.38,57871000.0,29620670000.0,94702670000.0,23516770000.0,118445400000.0,2630000000.0,107140700000.0,3209473000.0,3209473000.0,110604800000.0,7840618000.0,102966000.0,425439000.0,-9651000.0,-10138740000.0,-34006000.0,10498310000.0,323.47
2022-03-31,676569000.0,68606000.0,607963000.0,196075000.0,411887900.0,329409000.0,5.34,61670000.0,26324290000.0,93307340000.0,28307770000.0,121847300000.0,164000000.0,110393200000.0,3020092000.0,3020092000.0,113674100000.0,8173161000.0,99546000.0,-166847000.0,-12731000.0,-6609087000.0,-35245000.0,3479549000.0,293.49
2022-06-30,812241000.0,125473000.0,686767900.0,214294000.0,472474000.0,330077000.0,5.28,62440000.0,14578360000.0,87298160000.0,28408410000.0,115966800000.0,153000000.0,105500300000.0,2145443000.0,2145443000.0,107935000000.0,8031806000.0,100512000.0,405212000.0,-11135000.0,-6195883000.0,-35315000.0,-5955257000.0,179.21
2022-09-30,1020104000.0,302363000.0,717741000.0,254527000.0,463214000.0,349148000.0,5.59,62440000.0,11469920000.0,85772920000.0,28439360000.0,114468700000.0,159000000.0,104465900000.0,2026018000.0,2026018000.0,106778200000.0,7690523000.0,100671000.0,621581000.0,-13845000.0,-2222260000.0,-35315000.0,-1507755000.0,151.0
2022-12-31,1202461000.0,518562000.0,683899000.0,276071000.0,407828100.0,291721000.0,0.0,62440000.0,5954643000.0,80793450000.0,29320930000.0,110363600000.0,0.0,90213610000.0,11855380000.0,11855380000.0,102350500000.0,8013101000.0,0.0,0.0,0.0,0.0,105875000.0,0.0,115.22
