,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,24595000000.0,1815000000.0,22780000000.0,16050000000.0,6730000000.0,6270000000.0,1.7000000000000002,3694400000.0,977629000000.0,1831546000000.0,585575000000.0001,2417121000000.0,0.0,1802541000000.0,320119000000.0,368852000000.0,2171393000000.0,245728000000.0,1248000000.0,25124000000.0,2251000000.0,-1944000000.0,-30084000000.0,60.97
2015-12-31,24815000000.0,1930000000.0,22885000000.0,15514000000.0,7371000000.0,5153000000.0,1.34,3741200000.0,916919000000.0,1787268000000.0,564430000000.0001,2351698000000.0,0.0,1752490000000.0,309756000000.0,351635000000.0,2104125000000.0,247573000000.0,1273000000.0,16167000000.0,27258000000.0,-2195000000.0,-43998000000.0,66.03
2016-03-31,25411000000.0,2172000000.0,23239000000.0,15661000000.0,7578000000.0,5046000000.0,1.3599999999999999,3710600000.0,967781000000.0,1858749000000.0,565059000000.0001,2423808000000.0,0.0,1824521000000.0,310457000000.0,349130000000.0,2173651000000.0,250157000000.0,1289000000.0,-21383000000.0,-34581000000.0,-1946000000.0,53584000000.0,59.22
2016-06-30,26846000000.0,2466000000.0,24380000000.0,15040000000.0,9340000000.0,5728000000.0,1.56,3675500000.0,983365000000.0,1906853000000.0,559243000000.0001,2466096000000.0,0.0,1857874000000.0,315572000000.0,355799000000.0,2213673000000.0,252423000000.0,1336000000.0,-1524000000.0,-17483000000.0,-2174000000.0,20575000000.0,62.14
2016-09-30,27140000000.0,2467000000.0,24673000000.0,15734000000.0,8939000000.0,5812000000.0,1.6,3637700000.0,1025064000000.0,1963247000000.0,557782000000.0001,2521029000000.0,0.0,1890568000000.0,333897000000.0,376130000000.0,2266698000000.0,254331000000.0,1407000000.0,4192000000.0,-60038000000.0,-2069000000.0,57540000000.0,66.59
2016-12-31,26990000000.0,2713000000.0,24277000000.0,15598000000.0,8679000000.0,6248000000.0,1.73,3658800000.0,991732000000.0,1925051000000.0,565921000000.0001,2490972000000.0,0.0,1902490000000.0,295245000000.0,334292000000.0,2236782000000.0,254190000000.0,1446000000.0,40599000000.0,22900000000.0,-2287000000.0,-33428000000.0,86.29
2017-03-31,27917000000.0,2978000000.0,24939000000.0,16598000000.0,8341000000.0,5975000000.0,1.6600000000000001,3601700000.0,1053474000000.0,1996073000000.0,550217000000.0001,2546290000000.0,0.0,1939911000000.0,313834000000.0,350516000000.0,2290427000000.0,255863000000.0,1464000000.0,-22559000000.0,47112000000.0,-2045000000.0,43605000000.0,87.84
2017-06-30,29173000000.0,3442000000.0,25731000000.0,15982000000.0,9749000000.0,6555000000.0,1.83,3574100000.0,1074795000000.0,2034237000000.0,528937000000.0001,2563174000000.0,0.0,1949884000000.0,323909000000.0,354807000000.0,2304691000000.0,258483000000.0,1504000000.0,4073000000.0,-22573000000.0,-2341000000.0,4306000000.0,91.4
2017-09-30,29467000000.0,3889000000.0,25578000000.0,16022000000.0,9556000000.0,6262000000.0,1.77,3534700000.0,1063676000000.0,2025655000000.0,537419000000.0001,2563074000000.0,0.0,1957967000000.0,318301000000.0,346725000000.0,2304692000000.0,258382000000.0,1579000000.0,-4895000000.0,23167000000.0,-2092000000.0,-11506000000.0,95.51
2017-12-31,28022000000.0,3565000000.0,24457000000.0,16203000000.0,8254000000.0,3775000000.0,1.08,3551600000.0,1011570000000.0,1996392000000.0,537208000000.0001,2533600000000.0,0.0,1967746000000.0,284080000000.0,310161000000.0,2277907000000.0,255693000000.0,1632000000.0,12554000000.0,-19457000000.0,-2515000000.0,-21763000000.0,106.94
2018-03-31,32290000000.0,4383000000.0,27907000000.0,17245000000.0,10662000000.0,8238000000.0,2.38,3458300000.0,1074702000000.0,2068410000000.0,541375000000.0001,2609785000000.0,0.0,2057551000000.0,274449000000.0,296033000000.0,2353584000000.0,256201000000.0,1797000000.0,-35109000000.0,-45021000000.0,-2236000000.0,60589000000.0,109.97
2018-06-30,32834000000.0,5081000000.0,27753000000.0,17181000000.0,10572000000.0,7880000000.0,2.31,3415200000.0,1050484000000.0,2061317000000.0,528733000000.0001,2590050000000.0,0.0,2038155000000.0,273114000000.0,294437000000.0,2332592000000.0,257458000000.0,1927000000.0,35685000000.0,6047000000.0,-2480000000.0,-46823000000.0,104.2
2018-09-30,32791000000.0,5531000000.0,27260000000.0,16571000000.0,10689000000.0,7948000000.0,2.35,3376100000.0,1056556000000.0,2076538000000.0,538645000000.0001,2615183000000.0,0.0,2065862000000.0,270124000000.0,290365000000.0,2356227000000.0,258956000000.0,1992000000.0,13189000000.0,-808000000.0,-2273000000.0,2553000000.0,112.84
2018-12-31,31909000000.0,6046000000.0,25863000000.0,17022000000.0,8841000000.0,6643000000.0,1.99,3396400000.0,1014095000000.0,2058404000000.0,564128000000.0001,2622532000000.0,0.0,2063745000000.0,282031000000.0,302272000000.0,2366017000000.0,256515000000.0,2075000000.0,1849000000.0,-159638000000.0,-3120000000.0,17839000000.0,97.62
2019-03-31,36059000000.0,6936000000.0,29123000000.0,17890000000.0,11233000000.0,8753000000.0,2.65,3298000000.0,1135146000000.0,2150098000000.0,587090000000.0001,2737188000000.0,0.0,2160503000000.0,290893000000.0,316848000000.0,2477351000000.0,259837000000.0,2038000000.0,-80880000000.0,36301000000.0,-3033000000.0,69435000000.0,101.23
2019-06-30,35952000000.0,7205000000.0,28747000000.0,17405000000.0,11342000000.0,9192000000.0,2.83,3250600000.0,1059275000000.0,2091397000000.0,635982000000.0001,2727379000000.0,0.0,2149710000000.0,288869000000.0,314454000000.0,2464164000000.0,263215000000.0,2046000000.0,-13854000000.0,-8877000000.0,-3048000000.0,-12966000000.0,111.8
2019-09-30,36184000000.0,6893000000.0,29291000000.0,17886000000.0,11405000000.0,8606000000.0,2.69,3198500000.0,1009863000000.0,2030834000000.0,733827000000.0001,2764661000000.0,0.0,2185326000000.0,296472000000.0,314987000000.0,2500313000000.0,264348000000.0,2145000000.0,16015000000.0,-63925000000.0,-2975000000.0,39537000000.0,117.69
