,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2017-03-31,2725000000.0,386000000.0,2339000000.0,1471000000.0,868000000.0,551000000.0,1.43,386000000.0,16263000000.0,89852000000.0,4943000000.0,94795000000.0,0.0,56707000000.0,26823000000.0,26823000000.0,83530000000.0,11265000000.0,-5000000.0,1013000000.0,-47000000.0,988000000.0,-127000000.0,2253000000.0,68.39
2017-06-30,2819000000.0,400000000.0,2419000000.0,1552000000.0,867000000.0,532000000.0,1.4100000000000001,379000000.0,13043000000.0,88656000000.0,5101000000.0,93757000000.0,0.0,56060000000.0,26438000000.0,26438000000.0,82498000000.0,11259000000.0,-2000000.0,1019000000.0,-56000000.0,-2575000000.0,-124000000.0,-1664000000.0,62.19
2017-09-30,2951000000.0,426000000.0,2525000000.0,1622000000.0,903000000.0,589000000.0,1.5899999999999999,371000000.0,14528000000.0,92440000000.0,5168000000.0,97608000000.0,0.0,59684000000.0,26737000000.0,26737000000.0,86421000000.0,11187000000.0,-3000000.0,1552000000.0,-58000000.0,-2917000000.0,-139000000.0,2850000000.0,64.48
2017-12-31,3050000000.0,436000000.0,2614000000.0,1715000000.0,899000000.0,359000000.0,0.99,374000000.0,13387000000.0,95014000000.0,5073000000.0,100087000000.0,0.0,62869000000.0,26326000000.0,26326000000.0,89195000000.0,10892000000.0,4000000.0,1624000000.0,-57000000.0,-4287000000.0,-137000000.0,1522000000.0,76.92
2018-03-31,3044000000.0,469000000.0,2575000000.0,1719000000.0,856000000.0,646000000.0,1.82,355000000.0,17098000000.0,97106000000.0,4861000000.0,101967000000.0,0.0,64852000000.0,26244000000.0,26244000000.0,91096000000.0,10871000000.0,6000000.0,1238000000.0,-58000000.0,916000000.0,-142000000.0,1557000000.0,71.93
2018-06-30,3110000000.0,507000000.0,2603000000.0,1726000000.0,877000000.0,663000000.0,1.9100000000000001,348000000.0,15919000000.0,97880000000.0,4871000000.0,102751000000.0,0.0,65610000000.0,26252000000.0,26252000000.0,91862000000.0,10889000000.0,12000000.0,1586000000.0,-60000000.0,-2645000000.0,-122000000.0,-120000000.0,70.41
2018-09-30,3282000000.0,558000000.0,2724000000.0,1757000000.0,967000000.0,699000000.0,2.05,341000000.0,16609000000.0,100576000000.0,5266000000.0,105842000000.0,0.0,67828000000.0,26998000000.0,26998000000.0,94826000000.0,11016000000.0,6000000.0,1606000000.0,-59000000.0,-3036000000.0,-137000000.0,2120000000.0,76.45
2018-12-31,3412000000.0,605000000.0,2807000000.0,1910000000.0,897000000.0,681000000.0,2.04,344000000.0,15145000000.0,102616000000.0,6937000000.0,109553000000.0,0.0,71195000000.0,27228000000.0,27228000000.0,98423000000.0,11130000000.0,8000000.0,761000000.0,-77000000.0,-5814000000.0,-151000000.0,3589000000.0,58.98
2019-03-31,3395000000.0,632000000.0,2763000000.0,1833000000.0,930000000.0,705000000.0,2.15,328000000.0,15213000000.0,100822000000.0,9898000000.0,110720000000.0,0.0,73185000000.0,26276000000.0,26276000000.0,99461000000.0,11259000000.0,-2000000.0,2335000000.0,-82000000.0,-1768000000.0,-134000000.0,-499000000.0,71.16
2019-06-30,3497000000.0,645000000.0,2852000000.0,1865000000.0,987000000.0,747000000.0,2.32,322000000.0,11353000000.0,98380000000.0,12327000000.0,110707000000.0,0.0,74051000000.0,25163000000.0,25163000000.0,99214000000.0,11493000000.0,3000000.0,1578000000.0,-69000000.0,-4421000000.0,-145000000.0,-1017000000.0,77.59
