,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2016-06-30,2871000000.0,2871000000.0,1566000000.0,463000000.0,335000000.0,1.99,683000000.0,621000000.0,168300000.0,3050000000.0,5190000000.0,8240000000.0,134444000000.0,142684000000.0,0.0,10669000000.0,5201000000.0,124926000000.0,135595000000.0,7089000000.0,62000000.0,901000000.0,-8000000.0,62000000.0,-124000000.0,-591000000.0,89.85
2016-09-30,2998000000.0,2998000000.0,1529000000.0,290000000.0,215000000.0,1.31,511000000.0,451000000.0,164000000.0,3329000000.0,5336000000.0,8665000000.0,134958000000.0,143623000000.0,0.0,11140000000.0,5644000000.0,125687000000.0,136827000000.0,6796000000.0,60000000.0,505000000.0,-30000000.0,-430000000.0,-122000000.0,340000000.0,99.77
2016-12-31,3166000000.0,3166000000.0,1692000000.0,549000000.0,399000000.0,2.49,768000000.0,707000000.0,166300000.0,2486000000.0,5310000000.0,7796000000.0,132025000000.0,139821000000.0,0.0,11963000000.0,5236000000.0,121566000000.0,133529000000.0,6292000000.0,61000000.0,309000000.0,-26000000.0,-416000000.0,-118000000.0,-569000000.0,110.94
2017-03-31,2926000000.0,2926000000.0,1600000000.0,525000000.0,403000000.0,2.56,750000000.0,687000000.0,157500000.0,2177000000.0,5372000000.0,7549000000.0,133308000000.0,140857000000.0,0.0,11986000000.0,5252000000.0,122644000000.0,134630000000.0,6227000000.0,63000000.0,6000000.0,-33000000.0,211000000.0,-117000000.0,-434000000.0,129.68
2017-06-30,3012000000.0,3012000000.0,1598000000.0,563000000.0,393000000.0,2.5300000000000002,792000000.0,734000000.0,155100000.0,2563000000.0,5519000000.0,8082000000.0,135062000000.0,143144000000.0,0.0,12000000000.0,5216000000.0,124894000000.0,136894000000.0,6250000000.0,58000000.0,730000000.0,-39000000.0,16000000.0,-127000000.0,-432000000.0,127.29
2017-09-30,3014000000.0,3014000000.0,1631000000.0,685000000.0,507000000.0,3.29,916000000.0,861000000.0,153000000.0,2504000000.0,5751000000.0,8255000000.0,137231000000.0,145486000000.0,0.0,12356000000.0,5169000000.0,126825000000.0,139181000000.0,6305000000.0,55000000.0,443000000.0,-53000000.0,-333000000.0,-124000000.0,-420000000.0,148.51
2017-12-31,3180000000.0,3180000000.0,1726000000.0,648000000.0,177000000.0,1.2,853000000.0,795000000.0,154100000.0,2620000000.0,5787000000.0,8407000000.0,139073000000.0,147480000000.0,0.0,12478000000.0,5097000000.0,129007000000.0,141485000000.0,5995000000.0,58000000.0,344000000.0,-37000000.0,-65000000.0,-123000000.0,-499000000.0,169.47
2018-03-31,3168000000.0,3168000000.0,1694000000.0,747000000.0,594000000.0,3.9699999999999998,944000000.0,888000000.0,149500000.0,2201000000.0,5880000000.0,8081000000.0,136681000000.0,144762000000.0,0.0,12050000000.0,5055000000.0,126872000000.0,138922000000.0,5840000000.0,56000000.0,-188000000.0,-33000000.0,67000000.0,-122000000.0,-564000000.0,147.94
2018-06-30,3196000000.0,3196000000.0,1690000000.0,628000000.0,462000000.0,3.14,859000000.0,808000000.0,147000000.0,2582000000.0,5930000000.0,8512000000.0,134756000000.0,143268000000.0,0.0,12378000000.0,4291000000.0,125258000000.0,137636000000.0,5632000000.0,51000000.0,686000000.0,-36000000.0,212000000.0,-131000000.0,-583000000.0,139.88
2018-09-30,3292000000.0,3292000000.0,1722000000.0,638000000.0,503000000.0,3.48,861000000.0,816000000.0,144400000.0,2478000000.0,6047000000.0,8525000000.0,136666000000.0,145191000000.0,0.0,12826000000.0,4240000000.0,126747000000.0,139573000000.0,5618000000.0,45000000.0,611000000.0,-48000000.0,-628000000.0,-127000000.0,-57000000.0,147.66
2018-12-31,3179000000.0,3179000000.0,1702000000.0,716000000.0,539000000.0,3.81,937000000.0,891000000.0,145600000.0,3097000000.0,6185000000.0,9282000000.0,127934000000.0,137216000000.0,0.0,13608000000.0,4610000000.0,118020000000.0,131628000000.0,5588000000.0,46000000.0,1488000000.0,-45000000.0,-238000000.0,-126000000.0,-59000000.0,104.37
2019-03-31,3118000000.0,3118000000.0,1705000000.0,523000000.0,395000000.0,2.85,773000000.0,727000000.0,138800000.0,3347000000.0,7462000000.0,10809000000.0,133594000000.0,144403000000.0,0.0,13317000000.0,5125000000.0,125243000000.0,138560000000.0,5843000000.0,46000000.0,172000000.0,-31000000.0,-481000000.0,-124000000.0,291000000.0,128.1
2019-06-30,3245000000.0,3245000000.0,1771000000.0,646000000.0,492000000.0,3.61,877000000.0,832000000.0,136100000.0,4361000000.0,7435000000.0,11796000000.0,136882000000.0,148678000000.0,0.0,15160000000.0,4811000000.0,127488000000.0,142648000000.0,6030000000.0,45000000.0,980000000.0,-36000000.0,-1148000000.0,-129000000.0,1205000000.0,145.16
2019-09-30,3317000000.0,3317000000.0,1791000000.0,693000000.0,543000000.0,4.09,861000000.0,820000000.0,132700000.0,5392000000.0,7348000000.0,12740000000.0,136773000000.0,149513000000.0,0.0,15420000000.0,4771000000.0,128096000000.0,143516000000.0,5997000000.0,41000000.0,1422000000.0,-33000000.0,-107000000.0,-127000000.0,-432000000.0,147.1
2019-12-31,3287000000.0,3287000000.0,1830000000.0,584000000.0,463000000.0,3.59,787000000.0,736000000.0,134100000.0,3827000000.0,7210000000.0,11037000000.0,140791000000.0,151828000000.0,256000000.0,16515000000.0,4725000000.0,129584000000.0,146099000000.0,5729000000.0,51000000.0,-233000000.0,-43000000.0,-1498000000.0,-124000000.0,150000000.0,166.58
2020-03-31,3001000000.0,3001000000.0,1748000000.0,2397000000.0,2036000000.0,16.11,2535000000.0,2488000000.0,126400000.0,8829000000.0,7188000000.0,16017000000.0,129665000000.0,145682000000.0,200000000.0,18637000000.0,3720000000.0,120352000000.0,138989000000.0,6693000000.0,47000000.0,4893000000.0,-29000000.0,-40000000.0,-122000000.0,628000000.0,102.48
