,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2015-12-31,5401401000.0,4825600000.0,575801800.0,575801800.0,330400000.0,0.56,646201800.0,575801300.0,585500000.0,224400000.0,5476500000.0,5700900000.0,24118400000.0,29819300000.0,19247800000.0,2707900000.0,3282100000.0,22529900000.0,7289400000.0,70400000.0,132500000.0,-42200000.0,-64700000.0,0.0,-38400000.0,31.8,0
2016-03-31,5557500000.0,5109500000.0,448000000.0,448000000.0,258200000.0,0.44,511500000.0,448000000.0,583200000.0,209900000.0,5947100000.0,6157000000.0,24564600000.0,30721600000.0,19878800000.0,2701600000.0,3282900000.0,23161700000.0,7559900000.0,63500000.0,818800000.0,-52300000.0,-249600000.0,-519000000.0,-589500000.0,35.14,0
2016-06-30,5819300000.0,5468700000.0,350599600.0,350599600.0,190900000.0,0.33,418399600.0,350599600.0,582400000.0,134700000.0,6191900000.0,6326601000.0,25631600000.0,31958200000.0,20851100000.0,2664100000.0,3271600000.0,24122700000.0,7835500000.0,67800000.0,752500000.0,-53500000.0,-755700000.0,0.0,-66100000.0,33.5,0
2016-09-30,5935000000.0,5613200000.0,321799800.0,321799800.0,198700000.0,0.34,388799800.0,321799800.0,581500000.0,165700000.0,6645300000.0,6811000000.0,26809800000.0,33620800000.0,21742800000.0,3153900000.0,3783300000.0,25526100000.0,8094700000.0,67000000.0,704500000.0,-51800000.0,-1135200000.0,0.0,439200000.0,31.5,0
2016-12-31,6129601000.0,5524000000.0,605601100.0,605602500.0,383200000.0,0.66,684002600.0,605602500.0,581700000.0,226400000.0,6394000000.0,6620400000.0,26807100000.0,33427500000.0,21727200000.0,3148200000.0,3743200000.0,25470400000.0,7957100000.0,78400000.0,456900000.0,-51200000.0,-340200000.0,0.0,-34000000.0,35.5,0
2017-03-31,6321700000.0,5611900000.0,709800300.0,709800300.0,424300000.0,0.73,788400300.0,709800300.0,580300000.0,215000000.0,6789700000.0,7004700000.0,27805800000.0,34810500000.0,22513300000.0,3111700000.0,3774300000.0,26287600000.0,8522900000.0,78600000.0,1104400000.0,-23800000.0,-662600000.0,-395400000.0,-453200000.0,39.18,0
2017-06-30,6605700000.0,5974100000.0,631600600.0,631600600.0,367600000.0,0.63,712100600.0,631600600.0,580500000.0,161800000.0,7118400000.0,7280200000.0,29409600000.0,36689800000.0,23621300000.0,3383400000.0,4077000000.0,27698300000.0,8991500000.0,80500000.0,918200000.0,-36900000.0,-1239800000.0,0.0,268400000.0,44.09,0
2017-09-30,6791800000.0,6468300000.0,323500000.0,323500000.0,224000000.0,0.38,406800000.0,323500000.0,581300000.0,256300000.0,8221000000.0,8477300000.0,30455300000.0,38932600000.0,25631300000.0,3312200000.0,4011900000.0,29643200000.0,9289400000.0,83300000.0,1200500000.0,-35200000.0,-996900000.0,0.0,-109500000.0,48.42,0
2017-12-31,7119799000.0,6359300000.0,760499000.0,760497600.0,576300000.0,0.98,840397600.0,760499500.0,580800000.0,275300000.0,7695900000.0,7971200000.0,30730000000.0,38701200000.0,25471400000.0,3306300000.0,3945000000.0,29416400000.0,9284800000.0,79900000.0,533700000.0,-44500000.0,-507400000.0,0.0,-6600000.0,56.32,0
2018-03-31,7430100000.0,6447200000.0,982900400.0,982900400.0,718000000.0,1.23,1056800000.0,982900400.0,582000000.0,196600000.0,8282900000.0,8479500000.0,32851400000.0,41330900000.0,26581100000.0,3859200000.0,4426600000.0,31007700000.0,10323200000.0,73900000.0,1747100000.0,-34300000.0,-2180600000.0,-654900000.0,354800000.0,60.93,0
