,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-07-31,17348000000.0,11367000000.0,5981000000.0,3634000000.0,1839000000.0,1121000000.0,1.2,2372000000.0,1972000000.0,931000000.0,1089000000.0,9704000000.0,11115000000.0,21621000000.0,32736000000.0,1014000000.0,12141000000.0,10336000000.0,11908000000.0,24049000000.0,8687000000.0,400000000.0,1686000000.0,-321000000.0,-495000000.0,-218000000.0,-1718000000.0,69.36
2015-10-31,14360000000.0,9370000000.0,4990000000.0,3287000000.0,1187000000.0,733000000.0,0.8,1729000000.0,1328000000.0,918000000.0,1385000000.0,10434000000.0,12140000000.0,21504000000.0,33644000000.0,1058000000.0,12162000000.0,11530000000.0,13104000000.0,25266000000.0,8378000000.0,401000000.0,382000000.0,-243000000.0,-250000000.0,-260000000.0,198000000.0,73.83
2016-01-31,13237000000.0,8650000000.0,4587000000.0,3769000000.0,847000000.0,10000000.0,0.01,1242000000.0,439000000.0,927000000.0,712000000.0,9458000000.0,10561000000.0,20705000000.0,31266000000.0,1104000000.0,10492000000.0,11545000000.0,13120000000.0,23612000000.0,7654000000.0,395000000.0,238000000.0,-347000000.0,-357000000.0,-257000000.0,-703000000.0,71.66
2016-04-30,15234000000.0,9897000000.0,5337000000.0,3391000000.0,1586000000.0,880000000.0,0.98,1969000000.0,1586000000.0,897000000.0,4735000000.0,11055000000.0,16473000000.0,20704000000.0,37177000000.0,1083000000.0,14121000000.0,14322000000.0,15844000000.0,29965000000.0,7212000000.0,383000000.0,3220000000.0,-197000000.0,-349000000.0,-255000000.0,1284000000.0,76.02
2016-07-31,18260000000.0,11972000000.0,6288000000.0,3866000000.0,2051000000.0,1162000000.0,1.32,2446000000.0,2051000000.0,883000000.0,2156000000.0,10604000000.0,13351000000.0,23120000000.0,36471000000.0,1193000000.0,13183000000.0,14618000000.0,16266000000.0,29449000000.0,7022000000.0,395000000.0,1408000000.0,-276000000.0,-2585000000.0,-251000000.0,-1394000000.0,82.28
2016-10-31,15739000000.0,10332000000.0,5407000000.0,4084000000.0,939000000.0,376000000.0,0.43,1351000000.0,939000000.0,873000000.0,1083000000.0,10990000000.0,12728000000.0,22642000000.0,35370000000.0,800000000.0,12633000000.0,14395000000.0,16029000000.0,28662000000.0,6708000000.0,412000000.0,641000000.0,-319000000.0,-118000000.0,-309000000.0,-1546000000.0,66.65
2017-01-31,15784000000.0,11142000000.0,4642000000.0,3034000000.0,1270000000.0,646000000.0,0.74,1670000000.0,1270000000.0,880000000.0,658000000.0,10458000000.0,12000000000.0,22408000000.0,34408000000.0,1305000000.0,11974000000.0,14394000000.0,16000000000.0,27974000000.0,6434000000.0,400000000.0,348000000.0,-338000000.0,-309000000.0,-306000000.0,-436000000.0,73.08
2017-04-30,16860000000.0,11060000000.0,5800000000.0,3876000000.0,1559000000.0,600000000.0,0.7000000000000001,1948000000.0,1559000000.0,857000000.0,2047000000.0,12254000000.0,15276000000.0,22337000000.0,37613000000.0,295000000.0,14686000000.0,15770000000.0,17396000000.0,32082000000.0,5531000000.0,389000000.0,3295000000.0,-196000000.0,-291000000.0,-304000000.0,-1605000000.0,84.88
2017-07-31,19495000000.0,12825000000.0,6670000000.0,3931000000.0,2382000000.0,1413000000.0,1.6800000000000002,2761000000.0,2382000000.0,841000000.0,1815000000.0,11407000000.0,14033000000.0,22635000000.0,36668000000.0,296000000.0,13625000000.0,15788000000.0,17507000000.0,31132000000.0,5536000000.0,379000000.0,1779000000.0,-270000000.0,-505000000.0,-299000000.0,-1547000000.0,77.4
2017-10-31,16770000000.0,11057000000.0,5713000000.0,3808000000.0,1547000000.0,870000000.0,1.05,1927000000.0,1547000000.0,831000000.0,828000000.0,12393000000.0,14009000000.0,22774000000.0,36783000000.0,468000000.0,13738000000.0,15570000000.0,17303000000.0,31041000000.0,5742000000.0,380000000.0,298000000.0,-300000000.0,-276000000.0,-344000000.0,-978000000.0,79.95
