,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2018-06-30,6362000000.0,751000000.0,5611000000.0,3372000000.0,2199000000.0,1678000000.0,1.02,1642000000.0,19021000000.0,298534000000.0,162795000000.0,461329000000.0001,0.0,358216000000.0,37172000000.0,52856000000.0,411072000000.0,50257000000.0,115000000.0,3255000000.0,-2251000000.0,-497000000.0,-1229000000.0,50.02
2018-09-30,6541000000.0,872000000.0,5669000000.0,3346000000.0,2282000000.0,1732000000.0,1.06,1629000000.0,20082000000.0,302122000000.0,162485000000.0,464607000000.0001,0.0,355046000000.0,40894000000.0,58554000000.0,413600000000.0,51007000000.0,118000000.0,3225000000.0,-2051000000.0,-493000000.0,-113000000.0,52.81
2018-12-31,6809000000.0,1008000000.0,5801000000.0,3607000000.0,2153000000.0,1777000000.0,1.1,1634000000.0,21453000000.0,306346000000.0,161028000000.0,467374000000.0001,0.0,359614000000.0,41340000000.0,56103000000.0,415717000000.0,51657000000.0,121000000.0,2650000000.0,-4757000000.0,-603000000.0,3478000000.0,45.7
2019-03-31,6642000000.0,1092000000.0,5550000000.0,3424000000.0,2086000000.0,1613000000.0,1.01,1602000000.0,18115000000.0,304549000000.0,171226000000.0,475775000000.0001,0.0,363483000000.0,40680000000.0,59606000000.0,423089000000.0,52686000000.0,120000000.0,1296000000.0,-6544000000.0,-597000000.0,1910000000.0,48.19
2019-06-30,6941000000.0,1146000000.0,5795000000.0,3476000000.0,2277000000.0,1741000000.0,1.09,1590000000.0,16932000000.0,308760000000.0,172959000000.0,481719000000.0001,0.0,368209000000.0,41008000000.0,59970000000.0,428179000000.0,53540000000.0,125000000.0,609000000.0,-5328000000.0,-594000000.0,3536000000.0,52.4
2019-09-30,7051000000.0,1156000000.0,5895000000.0,3469000000.0,2384000000.0,1821000000.0,1.16,1575000000.0,15272000000.0,310431000000.0,177240000000.0,487671000000.0001,0.0,374294000000.0,41274000000.0,59230000000.0,433524000000.0,54147000000.0,127000000.0,3046000000.0,-9499000000.0,-589000000.0,4793000000.0,55.34
2019-12-31,6691000000.0,1048000000.0,5643000000.0,3752000000.0,1847000000.0,1408000000.0,0.91,1581000000.0,22405000000.0,320065000000.0,175361000000.0,495426000000.0001,0.0,385639000000.0,40167000000.0,57304000000.0,442943000000.0,52483000000.0,130000000.0,-62000000.0,-189000000.0,-663000000.0,7384000000.0,59.29
2020-03-31,6641000000.0,893000000.0,5748000000.0,4267000000.0,1439000000.0,1088000000.0,0.72,1518000000.0,46805000000.0,363517000000.0,179392000000.0,542909000000.0001,26344000000.0,421198000000.0,52298000000.0,69549000000.0,490747000000.0001,52162000000.0,129000000.0,2354000000.0,-22259000000.0,-647000000.0,44305000000.0,34.45
2020-06-30,6286000000.0,472000000.0,5814000000.0,5012000000.0,759000000.0,614000000.0,0.41000000000000003,1506000000.0,52392000000.0,363522000000.0,183130000000.0,546652000000.0001,20595000000.0,433901000000.0,42579000000.0,60271000000.0,494172000000.0001,52480000000.0,131000000.0,-853000000.0,4264000000.0,-635000000.0,2176000000.0,36.82
2020-09-30,6285000000.0,346000000.0,5939000000.0,3962000000.0,1933000000.0,1494000000.0,0.99,1506000000.0,44047000000.0,351243000000.0,189212000000.0,540455000000.0001,13723000000.0,426940000000.0,42443000000.0,60320000000.0,487260000000.0001,53195000000.0,133000000.0,3284000000.0,-3855000000.0,-635000000.0,-7774000000.0,35.85
2020-12-31,6029000000.0,304000000.0,5725000000.0,3758000000.0,1920000000.0,1425000000.0,0.9500000000000001,1509000000.0,62580000000.0,361734000000.0,192171000000.0,553905000000.0001,19322000000.0,441536000000.0,41297000000.0,58644000000.0,500180000000.0001,53725000000.0,134000000.0,-1069000000.0,6410000000.0,-635000000.0,13192000000.0,46.59
2021-03-31,5722000000.0,278000000.0,5444000000.0,2514000000.0,2892000000.0,2175000000.0,1.45,1502000000.0,43501000000.0,340576000000.0,212799000000.0,553375000000.0001,12098000000.0,445859000000.0,37419000000.0,55208000000.0,501067000000.0001,52308000000.0,122000000.0,937000000.0,-19466000000.0,-637000000.0,-550000000.0,55.31
2021-06-30,6001000000.0,245000000.0,5756000000.0,3177000000.0,2539000000.0,1914000000.0,1.29,1489000000.0,44573000000.0,341315000000.0,217571000000.0,558886000000.0001,13413000000.0,450595000000.0001,36360000000.0,54617000000.0,505212000000.0001,53674000000.0,124000000.0,5583000000.0,-5890000000.0,-631000000.0,1379000000.0,56.97
2021-09-30,5674000000.0,238000000.0,5864000000.0,3225000000.0,2598000000.0,1934000000.0,1.3,1483000000.0,63904000000.0,361911000000.0,205584000000.0,567495000000.0001,16088000000.0,458990000000.0001,35671000000.0,54127000000.0,513117000000.0001,54378000000.0,126000000.0,2647000000.0,9587000000.0,-626000000.0,7097000000.0,59.44
2021-12-31,5657000000.0,232000000.0,5657000000.0,3480000000.0,2137000000.0,1582000000.0,1.07,1483000000.0,28905000000.0,342984000000.0,230300000000.0,573284000000.0001,16274000000.0,467879000000.0001,32125000000.0,50018000000.0,517897000000.0001,55387000000.0,125000000.0,703000000.0,-41718000000.0,-685000000.0,6016000000.0,56.17
2022-03-31,5505000000.0,245000000.0,5569000000.0,3567000000.0,1955000000.0,1466000000.0,0.99,1485000000.0,44303000000.0,360894000000.0,225623000000.0,586517000000.0001,21042000000.0,482588000000.0001,32931000000.0,52261000000.0,534849000000.0001,51668000000.0,132000000.0,8477000000.0,-7364000000.0,-687000000.0,14285000000.0,53.15
2022-06-30,6052000000.0,390000000.0,5983000000.0,3798000000.0,2145000000.0,1464000000.0,0.98,1486000000.0,39124000000.0,369604000000.0,221777000000.0,591381000000.0001,24963000000.0,492065000000.0001,29408000000.0,50247000000.0,542312000000.0001,49069000000.0,125000000.0,2249000000.0,-12152000000.0,-686000000.0,4724000000.0,46.02
2022-09-30,6496000000.0,901000000.0,6296000000.0,3914000000.0,2339000000.0,1718000000.0,1.16,1486000000.0,41652000000.0,381990000000.0,218983000000.0,600973000000.0001,25066000000.0,496214000000.0001,32228000000.0,56781000000.0,552995000000.0001,47978000000.0,128000000.0,3505000000.0,-7561000000.0,-687000000.0,6584000000.0,40.32
2022-12-31,8017000000.0,1681000000.0,6336000000.0,5060000000.0,1191000000.0,853000000.0,0.0,1501000000.0,53542000000.0,437019000000.0,237786000000.0,674805000000.0001,0.0,556192000000.0001,39829000000.0,67381000000.0,623573000000.0001,51232000000.0,0.0,0.0,0.0,2060000000.0,0.0,43.61
