,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2017-03-31,1539000000.0,155000000.0,1384000000.0,906000000.0,434000000.0,313000000.0,0.61,509451000.0,4344000000.0,111900000000.0,38385000000.0,150285000000.0,0.0,115967000000.0,11780000000.0,14471000000.0,130438000000.0,19847000000.0,124000000.0,853000000.0,-14000000.0,-1143000000.0,-72000000.0,579000000.0,34.55
2017-06-30,1575000000.0,179000000.0,1396000000.0,889000000.0,462000000.0,318000000.0,0.63,506372000.0,4600000000.0,113664000000.0,37743000000.0,151407000000.0,0.0,116046000000.0,13154000000.0,15297000000.0,131343000000.0,20064000000.0,134000000.0,-316000000.0,-50000000.0,-742000000.0,-71000000.0,1232000000.0,35.68
2017-09-30,1645000000.0,202000000.0,1443000000.0,885000000.0,513000000.0,341000000.0,0.68,500861000.0,2407000000.0,112558000000.0,38798000000.0,151356000000.0,0.0,115193000000.0,13400000000.0,16054000000.0,131247000000.0,20109000000.0,113000000.0,913000000.0,-51000000.0,-2039000000.0,-90000000.0,-921000000.0,37.87
2017-12-31,1695000000.0,211000000.0,1484000000.0,1115000000.0,369000000.0,666000000.0,1.35,502157000.0,3224000000.0,113323000000.0,39013000000.0,152336000000.0,0.0,117760000000.0,11765000000.0,14306000000.0,132066000000.0,20270000000.0,116000000.0,433000000.0,-138000000.0,-60000000.0,-89000000.0,539000000.0,41.98
2018-03-31,1699000000.0,237000000.0,1462000000.0,961000000.0,501000000.0,381000000.0,0.78,487501000.0,4001000000.0,114980000000.0,38473000000.0,153453000000.0,0.0,117539000000.0,13486000000.0,15855000000.0,133394000000.0,20059000000.0,122000000.0,704000000.0,-32000000.0,-1118000000.0,-108000000.0,1241000000.0,41.98
2018-06-30,1799000000.0,290000000.0,1509000000.0,960000000.0,549000000.0,425000000.0,0.88,484744000.0,3979000000.0,116843000000.0,38588000000.0,155431000000.0,0.0,118898000000.0,13641000000.0,16066000000.0,134964000000.0,20467000000.0,121000000.0,711000000.0,-62000000.0,-2255000000.0,-107000000.0,1550000000.0,38.9
2018-09-30,1893000000.0,329000000.0,1564000000.0,988000000.0,576000000.0,436000000.0,0.92,475957000.0,4133000000.0,118941000000.0,39657000000.0,158598000000.0,0.0,119455000000.0,15639000000.0,18867000000.0,138322000000.0,20276000000.0,114000000.0,-208000000.0,-63000000.0,-1690000000.0,-129000000.0,2024000000.0,38.57
2018-12-31,1963000000.0,370000000.0,1593000000.0,1036000000.0,557000000.0,450000000.0,0.96,478822000.0,4222000000.0,120960000000.0,39558000000.0,160518000000.0,0.0,120892000000.0,15925000000.0,18809000000.0,139701000000.0,20817000000.0,132000000.0,560000000.0,-75000000.0,-2014000000.0,-127000000.0,1537000000.0,29.73
2019-03-31,1998000000.0,410000000.0,1588000000.0,1022000000.0,566000000.0,424000000.0,0.92,460713000.0,2603000000.0,120225000000.0,41117000000.0,161342000000.0,0.0,124595000000.0,11725000000.0,15216000000.0,139811000000.0,21531000000.0,134000000.0,472000000.0,15000000.0,-1471000000.0,-149000000.0,-639000000.0,32.5
2019-06-30,2042000000.0,414000000.0,1628000000.0,1048000000.0,580000000.0,435000000.0,0.9500000000000001,458154000.0,3221000000.0,121037000000.0,41712000000.0,162749000000.0,0.0,125445000000.0,11538000000.0,15287000000.0,140732000000.0,22017000000.0,141000000.0,105000000.0,-25000000.0,183000000.0,-148000000.0,311000000.0,35.36
2019-09-30,2031000000.0,393000000.0,1638000000.0,1074000000.0,564000000.0,432000000.0,0.97,445704000.0,4000000000.0,122632000000.0,41730000000.0,164362000000.0,0.0,125791000000.0,12806000000.0,16720000000.0,142511000000.0,21851000000.0,165000000.0,393000000.0,-37000000.0,-498000000.0,-162000000.0,912000000.0,35.37
2019-12-31,1995000000.0,358000000.0,1637000000.0,1096000000.0,541000000.0,427000000.0,0.98,449731000.0,3683000000.0,124849000000.0,40884000000.0,165733000000.0,0.0,125587000000.0,14047000000.0,17945000000.0,143532000000.0,22201000000.0,193000000.0,727000000.0,-48000000.0,-2089000000.0,-158000000.0,906000000.0,40.61
2020-03-31,1975000000.0,318000000.0,1657000000.0,1612000000.0,45000000.0,12000000.0,0.03,427718000.0,4338000000.0,132956000000.0,43763000000.0,176719000000.0,2812000000.0,134534000000.0,16437000000.0,20235000000.0,154769000000.0,21950000000.0,204000000.0,-1327000000.0,-16000000.0,-8768000000.0,-168000000.0,10767000000.0,18.81
2020-06-30,1940000000.0,190000000.0,1750000000.0,1443000000.0,307000000.0,225000000.0,0.53,426613000.0,7921000000.0,136179000000.0,43695000000.0,179874000000.0,1011000000.0,143873000000.0,9202000000.0,13583000000.0,157456000000.0,22418000000.0,112000000.0,-86000000.0,-37000000.0,1169000000.0,-168000000.0,2305000000.0,25.24
2020-09-30,1934000000.0,143000000.0,1791000000.0,1416000000.0,375000000.0,289000000.0,0.68,426846000.0,9544000000.0,134787000000.0,44441000000.0,179228000000.0,1004000000.0,143173000000.0,9109000000.0,13586000000.0,156759000000.0,22469000000.0,103000000.0,658000000.0,54000000.0,2100000000.0,-168000000.0,-988000000.0,25.28
2020-12-31,1827000000.0,120000000.0,1707000000.0,1136000000.0,571000000.0,424000000.0,0.99,427063000.0,13039000000.0,137689000000.0,45660000000.0,183349000000.0,1753000000.0,147407000000.0,8346000000.0,13269000000.0,160676000000.0,22673000000.0,159000000.0,866000000.0,-119000000.0,-637000000.0,-168000000.0,3288000000.0,35.76
2021-03-31,1758000000.0,99000000.0,1659000000.0,878000000.0,781000000.0,588000000.0,1.38,425954000.0,14968000000.0,139348000000.0,47869000000.0,187217000000.0,2132000000.0,151419000000.0,8316000000.0,13145000000.0,164564000000.0,22653000000.0,152000000.0,-690000000.0,-10000000.0,-1072000000.0,-167000000.0,3689000000.0,44.15
2021-06-30,1696000000.0,87000000.0,1609000000.0,778000000.0,831000000.0,616000000.0,1.45,425949000.0,13042000000.0,137374000000.0,47730000000.0,185104000000.0,1827000000.0,150698000000.0,6957000000.0,11207000000.0,161905000000.0,23199000000.0,165000000.0,580000000.0,-22000000.0,-631000000.0,-168000000.0,-1968000000.0,45.87
2021-09-30,1736000000.0,77000000.0,1659000000.0,978000000.0,681000000.0,504000000.0,1.18,426087000.0,14005000000.0,138738000000.0,48269000000.0,187007000000.0,1180000000.0,152229000000.0,6947000000.0,11355000000.0,163584000000.0,23423000000.0,136000000.0,1280000000.0,-27000000.0,-1284000000.0,-167000000.0,1079000000.0,46.98
2021-12-31,1699000000.0,76000000.0,1720000000.0,1036000000.0,684000000.0,498000000.0,1.17,425000000.0,9474000000.0,139347000000.0,49062000000.0,188409000000.0,2152000000.0,154435000000.0,6932000000.0,10554000000.0,164989000000.0,23420000000.0,172000000.0,643000000.0,-65000000.0,-7037000000.0,-168000000.0,1836000000.0,47.25
2022-03-31,1770000000.0,66000000.0,1645000000.0,1109000000.0,536000000.0,396000000.0,0.93,422000000.0,10621000000.0,142022000000.0,50075000000.0,192097000000.0,948000000.0,158801000000.0,5894000000.0,11222000000.0,170023000000.0,22074000000.0,67000000.0,656000000.0,-51000000.0,-3016000000.0,-165000000.0,3138000000.0,45.33
2022-06-30,2016000000.0,121000000.0,1999000000.0,1521000000.0,478000000.0,332000000.0,0.67,491000000.0,6983000000.0,164646000000.0,62066000000.0,226712000000.0,3935000000.0,182688000000.0,14440000000.0,19696000000.0,202384000000.0,24328000000.0,260000000.0,-2198000000.0,-5000000.0,-9126000000.0,-195000000.0,7902000000.0,35.69
2022-09-30,2091000000.0,304000000.0,2177000000.0,1364000000.0,813000000.0,611000000.0,1.23,496000000.0,8421000000.0,164543000000.0,60141000000.0,224684000000.0,265000000.0,178829000000.0,16286000000.0,22709000000.0,201538000000.0,23146000000.0,121000000.0,2816000000.0,-85000000.0,1067000000.0,-209000000.0,-2237000000.0,34.36
2022-12-31,2188000000.0,557000000.0,2200000000.0,1372000000.0,828000000.0,621000000.0,1.25,493000000.0,10850000000.0,166511000000.0,60222000000.0,226733000000.0,0.0,180727000000.0,15887000000.0,22316000000.0,203043000000.0,23690000000.0,0.0,0.0,0.0,0.0,569000000.0,0.0,39.37
