,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2020-06-30,2352000000.0,523600000.0,1828400000.0,1592400000.0,209300000.0,173500000.0,2.87,268200000.0,236000000.0,60363600.0,2137500000.0,11057300000.0,13194800000.0,31038400000.0,44233200000.0,32299500000.0,2208000000.0,5949200000.0,38248700000.0,5984500000.0,32200000.0,415900000.0,-25900000.0,-214100000.0,-39600000.0,-79400000.0,103.29,0
2020-09-30,2376700000.0,638500000.0,1738200000.0,1600200000.0,112499800.0,-34900000.0,-0.58,177499800.0,137999800.0,60190100.0,2203000000.0,11372900000.0,13575900000.0,30006700000.0,43582600000.0,33266700000.0,2008600000.0,4375900000.0,37642600000.0,5940000000.0,39500000.0,609400000.0,-34900000.0,-243000000.0,-37500000.0,-308800000.0,121.31,0
2020-12-31,2418100000.0,567599900.0,1850500000.0,1658900000.0,164800500.0,134500000.0,2.27,229700500.0,191600500.0,60114700.0,2207600000.0,8154300000.0,10361900000.0,34288000000.0,44649900000.0,23960800000.0,2252900000.0,14734300000.0,38695100000.0,5954800000.0,38100000.0,440400000.0,-40100000.0,-460000000.0,-39500000.0,32000000.0,136.22,0
2021-03-31,2432600000.0,528700000.0,1903900000.0,1682400000.0,193100100.0,158300000.0,2.67,262900100.0,221500100.0,59192900.0,1651300000.0,8452300000.0,10103600000.0,34307000000.0,44410600000.0,23645000000.0,2203700000.0,14940000000.0,38585000000.0,5825600000.0,41400000.0,-418700000.0,-39600000.0,14500000.0,-38200000.0,-153000000.0,141.77,0
2021-06-30,2542300000.0,535200000.0,2007100000.0,1738600000.0,239700000.0,205800000.0,3.33,311200000.0,268499900.0,60990600.0,2746000000.0,8402399000.0,11148400000.0,34846400000.0,45994800000.0,24680100000.0,2550500000.0,15406300000.0,40086400000.0,5908400000.0,42700000.0,947700000.0,-45600000.0,18800000.0,-41800000.0,132200000.0,156.18,0
2021-09-30,2637800000.0,617400000.0,2020400000.0,1784000000.0,188200200.0,879800000.0,14.92,257600200.0,215700200.0,59126300.0,2027900000.0,8837800000.0,10865700000.0,22759100000.0,26489000000.0,25317000000.0,2202000000.0,2563400000.0,20745000000.0,5744000000.0,41900000.0,-2000000.0,-46100000.0,3400000.0,-38500000.0,-736600000.0,157.75,0
2021-12-31,2574900000.0,514399800.0,2060500000.0,-1964400000.0,161999000.0,123800000.0,2.16,234699000.0,189098800.0,59140900.0,2040800000.0,8123700000.0,10164500000.0,23756100000.0,27733000000.0,24825000000.0,2263000000.0,3631500000.0,22243000000.0,5490000000.0,45600000.0,254700000.0,-56100000.0,120900000.0,-39100000.0,-332400000.0,155.86,0
2022-03-31,2482700000.0,494500000.0,1988200000.0,1790500000.0,170800000.0,145500000.0,2.61,245000000.0,197700000.0,55779400.0,1250900000.0,8335800000.0,9586700000.0,23435900000.0,26954000000.0,24395300000.0,2203000000.0,3606200000.0,21933000000.0,5021000000.0,47300000.0,-501100000.0,-41100000.0,-13300000.0,-37400000.0,-277500000.0,181.83,0
2022-06-30,2509700000.0,600000000.0,1909700000.0,1811700000.0,69900200.0,52200000.0,0.96,145200100.0,97100100.0,54607300.0,1182000000.0,8471699000.0,9653699000.0,22075000000.0,25634000000.0,24801500000.0,2129000000.0,2467500000.0,21174000000.0,4460000000.0,48100000.0,173000000.0,-46200000.0,120300000.0,-38600000.0,-347400000.0,172.85,0
2022-09-30,2547800000.0,670500000.0,1877300000.0,1842500000.0,8500000.0,7300000.0,0.14,79600000.0,34800000.0,53717400.0,1429800000.0,9850699000.0,11280500000.0,21965200000.0,25684000000.0,26643000000.0,2129000000.0,2503800000.0,21585000000.0,4099000000.0,44800000.0,647900000.0,-46600000.0,-241900000.0,-36700000.0,-142300000.0,145.27,0
