,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2018-03-31,7828000000.0,919000000.0,6909000000.0,5203000000.0,1662000000.0,1284000000.0,2.64,486900000.0,14317000000.0,258000000000.0,104857000000.0,362857000000.0,0.0,251856000000.0,50037000000.0,61798000000.0,313654000000.0,49203000000.0,550000000.0,1607000000.0,-205000000.0,682000000.0,-197000000.0,-2324000000.0,95.82
2018-06-30,8237000000.0,1045000000.0,7192000000.0,4657000000.0,2492000000.0,1814000000.0,3.74,485100000.0,13296000000.0,245025000000.0,118964000000.0,363989000000.0,0.0,249228000000.0,52757000000.0,64835000000.0,314063000000.0,49926000000.0,582000000.0,4080000000.0,-224000000.0,-4297000000.0,-196000000.0,-804000000.0,91.9
2018-09-30,8071000000.0,1109000000.0,6962000000.0,4997000000.0,1921000000.0,1440000000.0,3.01,477800000.0,11628000000.0,246090000000.0,116819000000.0,362909000000.0,0.0,247970000000.0,51821000000.0,64301000000.0,312271000000.0,50638000000.0,589000000.0,3351000000.0,-240000000.0,-2256000000.0,-191000000.0,-2763000000.0,94.93
2018-12-31,8241000000.0,1228000000.0,7013000000.0,5727000000.0,1243000000.0,1172000000.0,2.49,479900000.0,13489000000.0,254974000000.0,117564000000.0,372538000000.0,0.0,250574000000.0,58553000000.0,70296000000.0,320870000000.0,51668000000.0,675000000.0,3940000000.0,-205000000.0,-9747000000.0,-189000000.0,7668000000.0,75.59
2019-03-31,8384000000.0,1301000000.0,7083000000.0,5334000000.0,1719000000.0,1348000000.0,2.87,469400000.0,19438000000.0,254918000000.0,118273000000.0,373191000000.0,0.0,255824000000.0,50023000000.0,63886000000.0,319710000000.0,53481000000.0,704000000.0,4881000000.0,-183000000.0,5013000000.0,-191000000.0,-3945000000.0,81.69
2019-06-30,8454000000.0,1330000000.0,7124000000.0,5092000000.0,2003000000.0,1533000000.0,3.26,470800000.0,15821000000.0,256521000000.0,117098000000.0,373619000000.0,0.0,255331000000.0,48874000000.0,62521000000.0,317852000000.0,55767000000.0,881000000.0,4226000000.0,-213000000.0,-5138000000.0,-188000000.0,-2705000000.0,90.74
2019-09-30,8297000000.0,1338000000.0,6959000000.0,5230000000.0,1704000000.0,1270000000.0,2.71,469500000.0,17537000000.0,262727000000.0,116083000000.0,378810000000.0,0.0,257982000000.0,49685000000.0,62593000000.0,320575000000.0,58235000000.0,849000000.0,3412000000.0,-235000000.0,-5761000000.0,-190000000.0,4065000000.0,90.98
2019-12-31,8631000000.0,1204000000.0,7427000000.0,5951000000.0,1448000000.0,1041000000.0,2.26,467600000.0,13749000000.0,274508000000.0,115857000000.0,390365000000.0,17477000000.0,263450000000.0,55383000000.0,68904000000.0,332354000000.0,58011000000.0,905000000.0,4120000000.0,-256000000.0,-17112000000.0,-184000000.0,9204000000.0,102.91
2020-03-31,8333000000.0,1084000000.0,7249000000.0,9130000000.0,-1903000000.0,-1420000000.0,-3.1,457600000.0,25300000000.0,276960000000.0,119918000000.0,396878000000.0,399000000.0,270447000000.0,55282000000.0,69601000000.0,340048000000.0,56830000000.0,893000000.0,5409000000.0,-154000000.0,1041000000.0,-185000000.0,5101000000.0,50.42
2020-06-30,7414000000.0,858000000.0,6556000000.0,8000000000.0,-1460000000.0,-1009000000.0,-2.21,456700000.0,56558000000.0,293523000000.0,127773000000.0,421296000000.0,573000000.0,305191000000.0,44327000000.0,60060000000.0,365251000000.0,56045000000.0,911000000.0,3806000000.0,-188000000.0,4018000000.0,-183000000.0,23434000000.0,62.59
2020-09-30,8041000000.0,660000000.0,7381000000.0,3865000000.0,3502000000.0,2319000000.0,5.07,457800000.0,45001000000.0,282079000000.0,139804000000.0,421883000000.0,702000000.0,306759000000.0,42093000000.0,56700000000.0,363459000000.0,58424000000.0,897000000.0,2857000000.0,-201000000.0,-13976000000.0,-47000000.0,-438000000.0,71.86
2020-12-31,7855000000.0,518000000.0,7337000000.0,4265000000.0,3064000000.0,2485000000.0,5.36,457800000.0,40771000000.0,281012000000.0,140590000000.0,421602000000.0,7193000000.0,306462000000.0,39871000000.0,54936000000.0,361398000000.0,60204000000.0,800000000.0,4627000000.0,-167000000.0,-5924000000.0,-45000000.0,-2933000000.0,98.85
2021-03-31,7552000000.0,439000000.0,7113000000.0,2911000000.0,4196000000.0,3236000000.0,7.06,458600000.0,52274000000.0,285664000000.0,139511000000.0,425175000000.0,842000000.0,311458000000.0,37608000000.0,52529000000.0,363987000000.0,61188000000.0,855000000.0,1636000000.0,-178000000.0,7272000000.0,-184000000.0,2595000000.0,127.23
2021-06-30,7770000000.0,396000000.0,7374000000.0,2801000000.0,4568000000.0,3446000000.0,7.65,450600000.0,35088000000.0,280233000000.0,143187000000.0,423420000000.0,845000000.0,307454000000.0,35498000000.0,51342000000.0,358796000000.0,64624000000.0,859000000.0,4058000000.0,-163000000.0,-14963000000.0,-181000000.0,-6281000000.0,154.69
2021-09-30,8212000000.0,382000000.0,7830000000.0,3839000000.0,3986000000.0,2987000000.0,6.8100000000000005,438800000.0,26858000000.0,284393000000.0,140984000000.0,425377000000.0,825000000.0,307004000000.0,36676000000.0,54829000000.0,361833000000.0,63544000000.0,914000000.0,1954000000.0,-163000000.0,-7355000000.0,-529000000.0,-2829000000.0,161.97
2021-12-31,8499000000.0,381000000.0,8118000000.0,5046000000.0,3059000000.0,2296000000.0,5.43,442500000.0,22054000000.0,295312000000.0,137069000000.0,432381000000.0,9118000000.0,312081000000.0,42266000000.0,59271000000.0,371352000000.0,61029000000.0,853000000.0,4662000000.0,-194000000.0,-16455000000.0,-254000000.0,6989000000.0,145.09
2022-03-31,8560000000.0,387000000.0,8173000000.0,5214000000.0,2945000000.0,2318000000.0,5.65,410400000.0,27085000000.0,298877000000.0,135318000000.0,434195000000.0,4594000000.0,314284000000.0,44764000000.0,63566000000.0,377850000000.0,56345000000.0,839000000.0,-79000000.0,-230000000.0,1773000000.0,-251000000.0,3337000000.0,131.29
2022-06-30,8810000000.0,578000000.0,8232000000.0,5654000000.0,2564000000.0,1949000000.0,4.98,391200000.0,22250000000.0,309629000000.0,130659000000.0,440288000000.0,880000000.0,308658000000.0,58498000000.0,78220000000.0,386878000000.0,53410000000.0,784000000.0,2954000000.0,-193000000.0,-14275000000.0,-236000000.0,6486000000.0,104.19
2022-09-30,10002000000.0,1197000000.0,8805000000.0,6601000000.0,2187000000.0,1616000000.0,4.21,383400000.0,25291000000.0,320607000000.0,123625000000.0,444232000000.0,528000000.0,318154000000.0,54079000000.0,75217000000.0,393371000000.0,50861000000.0,744000000.0,2777000000.0,-221000000.0,-5789000000.0,-232000000.0,6053000000.0,92.17
2022-12-31,11001000000.0,1961000000.0,9040000000.0,7471000000.0,1544000000.0,1161000000.0,0.0,382600000.0,31256000000.0,332654000000.0,122595000000.0,455249000000.0001,0.0,334402000000.0,47832000000.0,68265000000.0,402667000000.0,52582000000.0,0.0,0.0,0.0,0.0,719000000.0,0.0,92.96
