,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2017-12-31,630704000.0,201604000.0,429100000.0,11858000.0,371821000.0,124669000.0,0.34,582139000.0,371821000.0,366968000.0,50647000.0,50647000.0,20519950000.0,20570600000.0,0.0,172801000.0,8957291000.0,9923936000.0,10096740000.0,10473860000.0,210318000.0,295652000.0,-74690000.0,-78521000.0,-185108000.0,-210545000.0,63.77
2018-03-31,633016000.0,223560000.0,409456000.0,16278000.0,339082000.0,211036000.0,0.5700000000000001,546488000.0,339082000.0,367800000.0,44453000.0,44453000.0,20339420000.0,20383870000.0,0.0,237234000.0,8659478000.0,9621544000.0,9858777000.0,10525090000.0,207406000.0,361018000.0,151785000.0,147298000.0,-185484000.0,-514367000.0,61.62
2018-06-30,639808000.0,216710000.0,423098000.0,12502000.0,217603000.0,112830000.0,0.31,419987000.0,217603000.0,367930000.0,34507000.0,34507000.0,20372080000.0,20406580000.0,0.0,209756000.0,8772769000.0,9757040000.0,9966790000.0,10439790000.0,202384000.0,324436000.0,-229925000.0,-231474000.0,-198831000.0,-98796000.0,63.69
2018-09-30,652867000.0,220176000.0,432691000.0,12640000.0,339403000.0,214164000.0,0.58,561083000.0,339403000.0,368028000.0,32995000.0,32995000.0,20509160000.0,20542150000.0,0.0,251578000.0,8823793000.0,9823481000.0,10075060000.0,10467090000.0,221680000.0,358737000.0,-181273000.0,-184644000.0,-198869000.0,-174220000.0,66.26
2018-12-31,651990000.0,219188000.0,432802000.0,12393000.0,218529100.0,116415000.0,0.32,429707000.0,218529100.0,368052000.0,47442000.0,47442000.0,20346770000.0,20394210000.0,0.0,165093000.0,8817938000.0,9829467000.0,9994560000.0,10399650000.0,211177900.0,312104000.0,-104590100.0,-108014000.0,-198938000.0,-176527000.0,66.01
2019-03-31,662494000.0,232908000.0,429586000.0,15381000.0,209969000.0,103766000.0,0.28,426132000.0,209969000.0,369558000.0,29391000.0,29391000.0,20304740000.0,20768810000.0,0.0,226859000.0,8952670000.0,9993211000.0,10502310000.0,10266500000.0,216163000.0,373545000.0,-339301000.0,-347035000.0,-199749000.0,-49317000.0,75.32
2019-06-30,669374000.0,224276000.0,445098000.0,14329000.0,369117000.0,308196000.0,0.8300000000000001,597068000.0,369117000.0,370342000.0,251273000.0,251273000.0,20307680000.0,20990710000.0,0.0,172732000.0,9130421000.0,10156810000.0,10611160000.0,10379550000.0,227951000.0,317228000.0,-96596100.0,-22120000.0,-210194000.0,-79146000.0,75.92
2019-09-30,685120000.0,224452000.0,460668000.0,11417000.0,368338000.0,266333000.0,0.72,583789100.0,368338000.0,370768000.0,28777000.0,28777000.0,20544230000.0,21054060000.0,0.0,225427000.0,8991936000.0,10088320000.0,10647060000.0,10407000000.0,215451000.0,403407000.0,-286401900.0,-289025000.0,-210448000.0,-339254000.0,86.26
2019-12-31,683702900.0,226692000.0,457010900.0,11630000.0,408735900.0,288992000.0,0.78,636572900.0,408735900.0,370461000.0,45753000.0,45753000.0,20614240000.0,21172770000.0,1028000000.0,161202000.0,9036956000.0,10135710000.0,10628240000.0,10544530000.0,227837000.0,362804000.0,-111030000.0,-113644000.0,-210720000.0,-216757000.0,80.92
2020-03-31,682305000.0,241257000.0,441048000.0,14518000.0,422085000.0,307833000.0,0.8300000000000001,646444000.0,422085000.0,371582000.0,82335000.0,82335000.0,20329020000.0,20919320000.0,639000000.0,231621000.0,8632704000.0,9586298000.0,10148630000.0,10770690000.0,224359000.0,382451000.0,273302000.0,266009000.0,-211239000.0,-624689000.0,61.71
