,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2015-09-30,1278000000.0,1018000000.0,260000000.0,257000000.0,174000000.0,1.06,269000000.0,257000000.0,164000000.0,419000000.0,2230000000.0,2649000000.0,16102000000.0,18751000000.0,9479000000.0,861000000.0,2922000000.0,12401000000.0,6350000000.0,12000000.0,285000000.0,-2000000.0,-231000000.0,-73000000.0,-122000000.0,53.8,0
2015-12-31,1263000000.0,1031000000.0,232000000.0,229000000.0,156000000.0,0.9500000000000001,242000000.0,229000000.0,164000000.0,544000000.0,2164000000.0,2708000000.0,16180000000.0,18888000000.0,9502000000.0,856000000.0,2959000000.0,12461000000.0,6427000000.0,13000000.0,320000000.0,-3000000.0,-4000000.0,-148000000.0,-191000000.0,59.17,0
2016-03-31,1364000000.0,1084000000.0,280000000.0,278000000.0,188000000.0,1.1400000000000001,290000000.0,278000000.0,164200000.0,613000000.0,2181000000.0,2794000000.0,16653000000.0,19447000000.0,9653000000.0,860000000.0,3059000000.0,12712000000.0,6735000000.0,12000000.0,265000000.0,-3000000.0,-108000000.0,-74000000.0,-88000000.0,65.36,0
2016-06-30,1371000000.0,1187000000.0,184000000.0,179000000.0,123000000.0,0.74,191000000.0,179000000.0,164500000.0,547000000.0,2270000000.0,2817000000.0,17334000000.0,20151000000.0,9943000000.0,853000000.0,3237000000.0,13180000000.0,6971000000.0,12000000.0,234000000.0,-4000000.0,-199000000.0,-77000000.0,-101000000.0,74.89,0
2016-09-30,1402000000.0,1133000000.0,269000000.0,266000000.0,180000000.0,1.09,276000000.0,266000000.0,164600000.0,700000000.0,2244000000.0,2944000000.0,17511000000.0,20455000000.0,10020000000.0,847000000.0,3314000000.0,13334000000.0,7121000000.0,10000000.0,336000000.0,-2000000.0,-79000000.0,-78000000.0,-104000000.0,75.42,0
2016-12-31,1312000000.0,1168000000.0,144000000.0,142000000.0,100000000.0,0.61,156000000.0,142000000.0,164500000.0,777000000.0,2263000000.0,3040000000.0,17346000000.0,20386000000.0,10063000000.0,846000000.0,3263000000.0,13326000000.0,7060000000.0,14000000.0,280000000.0,-4000000.0,-70000000.0,-77000000.0,-133000000.0,75.75,0
2017-03-31,1523000000.0,1230000000.0,293000000.0,289000000.0,201000000.0,1.22,303000000.0,289000000.0,164600000.0,543000000.0,2305000000.0,2848000000.0,17905000000.0,20753000000.0,10243000000.0,842000000.0,3254000000.0,13497000000.0,7256000000.0,14000000.0,136000000.0,-2000000.0,-246000000.0,-77000000.0,-124000000.0,72.27,0
2017-06-30,1386000000.0,1241000000.0,145000000.0,141000000.0,100000000.0,0.61,154000000.0,141000000.0,164300000.0,606000000.0,2367000000.0,2973000000.0,18265000000.0,21238000000.0,10444000000.0,843000000.0,3421000000.0,13865000000.0,7373000000.0,13000000.0,309000000.0,-7000000.0,-87000000.0,-81000000.0,-159000000.0,72.45,0
2017-09-30,1412000000.0,1267000000.0,145000000.0,142000000.0,102000000.0,0.62,155000000.0,142000000.0,164000000.0,674000000.0,2346000000.0,3020000000.0,18572000000.0,21592000000.0,10541000000.0,843000000.0,3528000000.0,14069000000.0,7523000000.0,13000000.0,301000000.0,-5000000.0,-126000000.0,-81000000.0,-107000000.0,76.57,0
2017-12-31,1411000000.0,1198000000.0,213000000.0,211000000.0,642000000.0,3.92,226000000.0,211000000.0,164200000.0,657000000.0,2216000000.0,2873000000.0,18970000000.0,21843000000.0,10406000000.0,851000000.0,3194000000.0,13600000000.0,8243000000.0,15000000.0,306000000.0,-2000000.0,-99000000.0,-161000000.0,-224000000.0,74.97,0
