,Sym,Value ($000)
2013-12-01,AIG,0.0
2013-12-01,BMRN,0.0
2013-12-01,LLTC,0.0
2013-12-01,RAX,0.0
2013-12-01,TRIP,0.0
2013-12-01,VALPQ,0.0
2013-12-01,GE,0.0
2013-12-01,AFL,0.0
2013-12-01,CPG.TO,0.0
2013-12-01,ITW,0.0
2013-12-01,VLO,0.0
2013-12-01,WHR,0.0
2013-12-01,FBIN,0.0
2013-12-01,CRM,0.0
2013-12-01,TKR,0.0
2013-12-01,ACN,0.0
2013-12-01,JBHT,0.0
2013-12-01,IGT,0.0
2013-12-01,SPXC,0.0
2013-12-01,ANSS,0.0
2013-12-01,EL,0.0
2013-12-01,MAS,0.0
2013-12-01,CB,0.0
2013-12-01,KBR,0.0
2013-12-01,ETN,0.0
2013-12-01,RKT,0.0
2013-12-01,GS,0.0
2013-12-01,TRV,0.0
2013-12-01,ANTM,0.0
2013-12-01,NFG,0.0
2013-12-01,CAM,0.0
2013-12-01,NUE,0.0
2013-12-01,WSM,0.0
2013-12-01,CMI,0.0
2013-12-01,EAT,0.0
2013-12-01,STLD,0.0
2013-12-01,PNRA,0.0
2013-12-01,DUK,0.0
2013-12-01,AEO,0.0
2013-12-01,CAB,0.0
2013-12-01,VIAC,0.0
2013-12-01,RHI,0.0
2013-12-01,PKG,0.0
2013-12-01,LNC,0.0
2013-12-01,TEX,0.0
2013-12-01,SGEN,0.0
2013-12-01,FISV,0.0
2013-12-01,ZION,0.0
2013-12-01,NDAQ,0.0
2013-12-01,KEX,0.0
2013-12-01,CFN,0.0
2013-12-01,KSU,0.0
2013-12-01,LOW,0.0
2013-12-01,LH,0.0
2013-12-01,DNKN,0.0
2013-12-01,PCL,0.0
2013-12-01,MTD,0.0
2013-12-01,O,0.0
2013-12-01,SBAC,0.0
2013-12-01,TRW,0.0
2013-12-01,MMC,0.0
2013-12-01,AN,0.0
2013-12-01,ABT,0.0
2013-12-01,FTI,0.0
2013-12-01,ALL,0.0
2013-12-01,AME,0.0
2013-12-01,HIG,0.0
2013-12-01,AMG,0.0
2013-12-01,SNI,0.0
2013-12-01,WAB,0.0
2013-12-01,GIS,0.0
2013-12-01,AMZN,0.0
2013-12-01,AVP,0.0
2013-12-01,BLK,0.0
2013-12-01,CDNS,0.0
2013-12-01,MS,0.0
2013-12-01,XL,0.0
2013-12-01,SBNY,0.0
2013-12-01,BEN,0.0
2013-12-01,PAYX,0.0
2013-12-01,MSM,0.0
2013-12-01,ON,0.0
2013-12-01,TSS,0.0
2013-12-01,CLX,0.0
2013-12-01,LBTYK,0.0
2013-12-01,SCHW,0.0
2013-12-01,STT,0.0
2013-12-01,IDXX,0.0
2013-12-01,AMP,0.0
2013-12-01,EFX,0.0
2013-12-01,BMY,0.0
2013-12-01,SRCL,0.0
2013-12-01,JAH,0.0
2013-12-01,POT,0.0
2013-12-01,AGU,0.0
2013-12-01,ORLY,0.0
2013-12-01,SHW,0.0
2013-12-01,TGT,0.0
2013-12-01,JOY,0.0
2013-12-01,TSN,0.0
2013-12-01,SPGI,0.0
2013-12-01,URBN,0.0
2013-12-01,VIAB,0.0
2013-12-01,LB,0.0
2013-12-01,MOS,0.0
2013-12-01,WMT,0.0
2013-12-01,SO,0.0
2013-12-01,KSS,0.0
2013-12-01,FLR,0.0
2013-12-01,ETR,0.0
2013-12-01,CCI,0.0
2013-12-01,CMG,0.0
2013-12-01,PCAR,0.0
2013-12-01,NEE,0.0
2013-12-01,ILMN,0.0
2013-12-01,SE,0.0
2013-12-01,GD,0.0
2013-12-01,ADI,0.0
2013-12-01,ELV,0.0
2013-12-01,ARG,0.0
2013-12-01,MMM,0.0
2013-12-01,HST,0.0
2013-12-01,ROST,0.0
2013-12-01,HUM,0.0
2013-12-01,FMC,0.0
2013-12-01,JCI,0.0
2013-12-01,IHS,0.0
2013-12-01,NLY,0.0
2013-12-01,COST,0.0
2013-12-01,ADM,0.0
2013-12-01,PLD,0.0
2013-12-01,PSA,0.0
2013-12-01,HSY,0.0
2013-12-01,AMT,0.0
2013-12-01,MDLZ,0.0
2013-12-01,RCL,0.0
2013-12-01,SPG,0.0
2013-12-01,TAP,0.0
2013-12-01,INGR,0.0
2013-12-01,GRPN,0.0
2013-12-01,PM,0.0
2013-12-01,LHX,0.0
2013-12-01,LKQ,0.0
2013-12-01,TRMB,0.0
2013-12-01,MAN,0.0
2013-12-01,CTAS,0.0
2013-12-01,MSGN,0.0
2013-12-01,CNP,0.0
2013-12-01,BF-B,0.0
2013-12-01,LLL,0.0
2013-12-01,VAL,0.0
2013-12-01,BG,0.0
2013-12-01,RE,0.0
2013-12-01,CSL,0.0
2013-12-01,TECH,0.0
2013-12-01,GWR,0.0
2013-12-01,IFF,0.0
2013-12-01,AOL,0.0
2013-12-01,STI,0.0
2013-12-01,CRL,0.0
2013-12-01,FICO,0.0
2013-12-01,COLM,0.0
2013-12-01,FDS,0.0
2013-12-01,JKHY,0.0
2013-12-01,HBI,0.0
2013-12-01,FITB,0.0
2013-12-01,CIT,0.0
2013-12-01,FNF,0.0
2013-12-01,MDP,0.0
2013-12-01,DLX,0.0
2013-12-01,RF,0.0
2013-12-01,WLY,0.0
2013-12-01,DNY,0.0
2013-12-01,APH,0.0
2013-12-01,LEG,0.0
2013-12-01,SNA,0.0
2013-12-01,NEU,0.0
2013-12-01,RPM,0.0
2013-12-01,BAC,0.0
2013-12-01,WLK,0.0
2013-12-01,NWL,0.0
2013-12-01,EIX,0.0
2013-12-01,PCH,0.0
2013-12-01,WCN,0.0
2013-12-01,LYB,0.0
2013-12-01,VRSK,0.0
2013-12-01,CLB,0.0
2013-12-01,CBT,0.0
2013-12-01,MLM,0.0
2013-12-01,SPNX,0.0
2013-12-01,BMS,0.0
2013-12-01,OII,0.0
2013-12-01,TW,0.0
2013-12-01,SM,0.0
2013-12-01,FCS,0.0
2013-12-01,LII,0.0
2013-12-01,SWKS,0.0
2013-12-01,DNB,0.0
2013-12-01,PBI,0.0
2013-12-01,TUP,0.0
2013-12-01,OAS,0.0
2013-12-01,AVY,0.0
2013-12-01,CXW,0.0
2013-12-01,ISIL,0.0
2013-12-01,CY,0.0
2013-12-01,AVX,0.0
2013-12-01,EWZ,0.0
2013-12-01,DIS,0.0
2013-12-01,TOL,0.0
2013-12-01,SBUX,0.0
2013-12-01,MCD,0.0
2013-12-01,DISH,0.0
2013-12-01,MRK,0.0
2013-12-01,UTHR,0.0
2013-12-01,YUM,0.0
2013-12-01,DRI,0.0
2013-12-01,DHI,0.0
2013-12-01,TXT,0.0
2013-12-01,STJ,0.0
2013-12-01,D,0.0
2013-12-01,FDX,0.0
2013-12-01,TFCFA,0.0
2013-12-01,FL,0.0
2013-12-01,KDP,0.0
2013-12-01,VNO,0.0
2013-12-01,BWA,0.0
2013-12-01,RMD,0.0
2013-12-01,UPS,0.0
2013-12-01,LVLT,0.0
2013-12-01,WBA,0.0
2013-12-01,DISCA,0.0
2013-12-01,HOLX,0.0
2013-12-01,EW,0.0
2013-12-01,TEVA,0.0
2013-12-01,DE,0.0
2013-12-01,CPB,0.0
2013-12-01,BXP,0.0
2013-12-01,DAL,0.0
2013-12-01,MNST,0.0
2013-12-01,MSGS,0.0
2013-12-01,SPLK,0.0
2013-12-01,MD,0.0
2013-12-01,AMCX,0.0
2013-12-01,PFG,0.0
2013-12-01,REGN,0.0
2013-12-01,IEMG,0.0
2013-12-01,EWY,0.0
2013-12-01,CLF,0.0
2013-12-01,GME,0.0
2013-12-01,IPG,0.0
2013-12-01,CPRI,0.0
2013-12-01,CVS,0.0
2013-12-01,LULU,0.0
2013-12-01,LEN,0.0
2013-12-01,X,0.0
2013-12-01,HYG,0.0
2013-12-01,JCPNQ,0.0
2013-12-01,PX,0.0
2013-12-01,RIG,0.0
2013-12-01,NFX,0.0
2013-12-01,XEC,0.0
2013-12-01,SWK,0.0
2013-12-01,BTO.TO,0.0
2013-12-01,JLL,0.0
2013-12-01,CA,0.0
2013-12-01,TAHO,0.0
2013-12-01,F,0.0
2013-12-01,CFR,0.0
2013-12-01,SJM,0.0
2013-12-01,SBH,0.0
2013-12-01,SBSW,0.0
2013-12-01,AIZ,0.0
2013-12-01,HBAN,0.0
2013-12-01,SCG,0.0
2013-12-01,USB,0.0
2013-12-01,SEE,0.0
2013-12-01,BPYU,0.0
2013-12-01,VMC,0.0
2013-12-01,TFC,0.0
2013-12-01,FIS,0.0
2013-12-01,LEA,0.0
2013-12-01,CMA,0.0
2013-12-01,L,0.0
2013-12-01,PBCT,0.0
2013-12-01,RGA,0.0
2013-12-01,APD,0.0
2013-12-01,CCK,0.0
2013-12-01,ALV,0.0
2013-12-01,MKC,0.0
2013-12-01,JPM,0.0
2013-12-01,HRL,0.0
2013-12-01,IVZ,0.0
2013-12-01,DFS,0.0
2013-12-01,OGE,0.0
2013-12-01,ROP,0.0
2013-12-01,TPR,0.0
2013-12-01,NNN,0.0
2013-12-01,PWR,0.0
2013-12-01,GLD,0.0
2013-12-01,TLT,0.0
2013-12-01,EMB,0.0
2013-12-01,VEA,0.0
2013-12-01,EFA,0.0
2013-12-01,IEFA,0.0
2013-12-01,IAU,0.0
2013-12-01,TIP,0.0
2013-12-01,EWT,0.0
2013-12-01,KMB,0.0
2013-12-01,PPL,0.0
2013-12-01,CMCSA,0.0
2013-12-01,RY.TO,0.0
2013-12-01,BNS.TO,0.0
2013-12-01,CAT,0.0
2013-12-01,CNR.TO,0.0
2013-12-01,BMO.TO,0.0
2013-12-01,BKAA.SG,0.0
2013-12-01,CCEP.AS,0.0
2013-12-01,WFC,0.0
2013-12-01,MFC.TO,0.0
2013-12-01,XRAY,0.0
2013-12-01,CM.TO,0.0
2013-12-01,NTR.TO,0.0
2013-12-01,SLF.TO,0.0
2013-12-01,CP.TO,0.0
2013-12-01,RS,0.0
2013-12-01,MG.TO,0.0
2013-12-01,WPM.TO,0.0
2013-12-01,J,0.0
2013-12-01,CAKE,0.0
2013-12-01,COO,0.0
2013-12-01,GIB,0.0
2013-12-01,C,0.0
2013-12-01,NYCB,0.0
2013-12-01,RJF,0.0
2013-12-01,UNM,0.0
2013-12-01,MPC,0.0
2013-12-01,WAT,0.0
2013-12-01,IT,0.0
2013-12-01,FTNT,0.0
2013-12-01,CVLT,0.0
2013-12-01,SNPS,0.0
2013-12-01,QSR,0.0
2013-12-01,ECL,0.0
2013-12-01,FTS.TO,0.0
2013-12-01,ARE,0.0
2013-12-01,BKI,0.0
2013-12-01,AGCO,0.0
2013-12-01,JEF,0.0
2013-12-01,GPN,0.0
2013-12-01,PPL.TO,0.0
2013-12-01,IRM,0.0
2013-12-01,KEY,0.0
2013-12-01,WTW,0.0
2013-12-01,PKI,0.0
2013-12-01,ATR,0.0
2013-12-01,OI,0.0
2013-12-01,CHH,0.0
2013-12-01,BALL,0.0
2013-12-01,PNC,0.0
2013-12-01,LPT,0.0
2013-12-01,GL,0.0
2013-12-01,FRT,0.0
2013-12-01,NWSA,0.0
2013-12-01,MORN,0.0
2013-12-01,MTB,0.0
2013-12-01,WRK,0.0
2013-12-01,ALGN,0.0
2013-12-01,HSIC,0.0
2013-12-01,HRC,0.0
2013-12-01,BRKR,0.0
2013-12-01,PDCO,0.0
2013-12-01,EXR,0.0
2013-12-01,BIO,0.0
2013-12-01,GIL.TO,0.0
2013-12-01,SCI,0.0
2013-12-01,TSCO,0.0
2013-12-01,ALLE,0.0
2013-12-01,TPH,0.0
2013-12-01,AJG,0.0
2013-12-01,UDR,0.0
2013-12-01,IEX,0.0
2013-12-01,BB.TO,0.0
2013-12-01,WCG,0.0
2013-12-01,FLS,0.0
2013-12-01,RRX,0.0
2013-12-01,OSK,0.0
2013-12-01,DCI,0.0
